feature,variance,median_file_window_cv,mutual_information_window_level,mutual_information_file_level,spearman_rho_file_mean_vs_rpm,spearman_p_file_mean_vs_rpm,selected_initial,drop_reason,suspect_for_default_transfer
amp_rms,0.07974101767754298,0.024959726934928286,0.8098253552200028,0.5114051657283056,-0.02847856427499718,0.8349560003411218,True,,False
amp_std,0.07974101767754298,0.024959726934928286,0.8098253552200028,0.5292623085854484,-0.02847856427499718,0.8349560003411218,False,near_zero_variance_or_correlated,False
amp_peak,3.4747525624052793,0.07166366671189128,0.9193455807548434,0.6438693671339324,-0.06513312167116363,0.6334152814435207,True,,False
amp_ptp,13.162123311513664,0.06713680947593599,0.8903530442018202,0.6688170228616634,-0.0707669992840702,0.6042642379456429,False,near_zero_variance_or_correlated,False
amp_absmean,0.03179437884063817,0.020861700188639608,0.8554437319465318,0.4391756656440122,0.0001374116490952819,0.999198045157306,False,near_zero_variance_or_correlated,False
amp_energy,0.09771621376566059,0.04985122743085409,0.808823006683657,0.5385009437975252,-0.030058798239592923,0.8259367930783237,False,near_zero_variance_or_correlated,False
shape_skew,0.019022201922936504,0.46167085949338926,0.33795793165666654,0.2146617687080925,-0.13006012586868435,0.33937783469782434,True,,False
shape_kurtosis,47.32830832191613,0.04585177362520959,0.5342625937485381,0.3636607388281432,-0.12830812734271949,0.3459791178165903,True,,False
shape_crest,5.425614084795435,0.06311485092385599,0.33521443066998224,0.31133619025962367,-0.11535707941548919,0.39720994259914033,True,,False
shape_impulse,24.516111470568827,0.0659885894844929,0.32922108001310413,0.49337917048985247,-0.10463897078605719,0.4427868401188476,False,near_zero_variance_or_correlated,False
zcr,0.0013695687470055688,0.00688398937355603,0.6849590940874741,0.412039155829069,0.15524081056539474,0.2532643402519082,True,,False
psd_centroid,125340.84654996624,0.0036888592669867674,0.6909406408665393,0.2908033190124035,0.037925615150297805,0.781390062567342,True,,False
psd_bandwidth,575769.6416010959,0.020827892887302683,0.8050393416833324,0.5634192661862762,-0.1304723608159702,0.337836079604078,True,,False
psd_entropy,0.003103699536814569,0.008165951714732533,0.5461032060469624,0.3558670139050024,-0.1024747373128065,0.4523297880359467,True,,False
psd_peak_ratio,0.00215125360365093,0.07659511392154288,0.47658618109591333,0.08730418335776546,0.0549990125503866,0.6872446621360002,True,,False
env_rms,0.7484771281866534,0.017473735052302354,0.6057928661260479,0.3933688828493094,-0.10175332615505626,0.4555356858872811,True,,False
env_kurtosis,65.4951165180223,0.0809771400758676,0.4677465414160631,0.24265150090818755,-0.13143424235963716,0.33425568933923056,True,,False
env_entropy,0.01470681531657587,0.010310180702789436,0.8050102561027275,0.5836388025387393,0.042597611219537396,0.7552509161068499,True,,False
env_peak_ratio,0.00467989225462198,0.056570130352885245,0.5361058268760162,0.4186177651112948,-0.011199049401265477,0.9347116459637161,True,,False
acf_first_peak_s,3.979591148683013e-09,0.0,0.6469189818146526,0.2829395586197334,0.12974873423064387,0.3405453397193383,True,,True
acf_strength,0.003928182683193845,0.001416608801053007,0.8354914652372094,0.5546530203776667,-0.003263526666012946,0.9809553273143937,False,near_zero_variance_or_correlated,False
psd_0_500,0.004360803424677373,0.08702052157680593,0.6268509613288897,0.3250868213595135,0.08151946082577599,0.5503256430490381,True,,False
env_0_500,0.05093568794997048,0.018946066499902145,0.6692597217436627,0.464190025991881,-0.03215432588829597,0.8140110735477051,True,,False
psd_500_1000,0.0014065647307053143,0.08525654248321797,0.5717413310477653,0.2654254291400342,-0.08605404524592031,0.5282912110532403,True,,False
env_500_1000,0.004447211157669694,0.07542876322655133,0.5755073994834083,0.5072347376656561,0.12635001134311175,0.3534504114397653,True,,False
psd_1000_2000,0.0020160775890999344,0.06860078497072603,0.5511398675126487,0.32659119608100906,-0.2715941244368248,0.04288601096120913,True,,False
env_1000_2000,0.004381427170597178,0.07295434697741543,0.572640115603976,0.3968013218750974,-0.07612605359878619,0.5770924459173143,True,,False
psd_2000_4000,0.08089459170926068,0.006134384949310461,0.7367648036709236,0.4326514101674894,0.14792364025107096,0.27659898323336407,False,near_zero_variance_or_correlated,False
env_2000_4000,0.008792924360802683,0.07521622508078803,0.6702509549121052,0.4948237293066342,0.00566823052518038,0.9669285664086429,True,,False
psd_4000_8000,0.01708691275428043,0.05193856108994097,0.8151728356184809,0.41139196262382116,0.1720737375795668,0.20475419128013328,True,,False
env_4000_8000,0.008899037467936008,0.07303831628960007,0.7424300768228442,0.4503086571747603,-0.10044791548865109,0.46136829798999524,False,near_zero_variance_or_correlated,False
order_dominant,5416.241349973554,2.3826866405822025e-16,1.0625046399515765,0.4735476542085293,0.05871414387811114,0.6673136958106269,True,,True
order_entropy,0.01470681531657587,0.010310180702789436,0.8050102561027275,0.5909648098647471,0.042597611219537396,0.7552509161068499,False,near_zero_variance_or_correlated,False
order_0.5_2,0.013521506478259282,0.08629778176058571,0.5875504662519795,0.5014059258226422,-0.1613899818624086,0.23471472305948918,True,,False
order_2_4,0.016865290729945224,0.053271146746691526,0.6490395416834407,0.5018685267526799,-0.07911475696660857,0.5621862723282276,True,,False
order_4_8,0.004687985624167042,0.056471708615272995,0.5171459915133434,0.2975541676205993,0.41707870791645446,0.001384658715520486,True,,False
order_8_16,0.004158638112380048,0.07630609064406128,0.5322654639175493,0.42997538137753,0.07626346524788147,0.5764031532961504,True,,False
order_16_32,0.005360463492198614,0.07505572598079725,0.5924008986268805,0.5747622396338095,0.07701922931790552,0.5726188083637049,False,near_zero_variance_or_correlated,False
