file_id,file_path,label,load,rpm,fault_size,fault_position,sampling_rate,signal_length,signal_variable
B007_0,数据集/数据集/源域数据集/48kHz_DE_data/B/0007/B007_0.mat,B,0,1796.0,0007,,48000,192000,X122_DE_time
B007_1,数据集/数据集/源域数据集/48kHz_DE_data/B/0007/B007_1.mat,B,1,1772.0,0007,,48000,192000,X123_DE_time
B007_2,数据集/数据集/源域数据集/48kHz_DE_data/B/0007/B007_2.mat,B,2,1747.0,0007,,48000,192000,X124_DE_time
B007_3,数据集/数据集/源域数据集/48kHz_DE_data/B/0007/B007_3.mat,B,3,1721.0,0007,,48000,192000,X125_DE_time
B014_0,数据集/数据集/源域数据集/48kHz_DE_data/B/0014/B014_0.mat,B,0,1797.0,0014,,48000,192000,X189_DE_time
B014_1,数据集/数据集/源域数据集/48kHz_DE_data/B/0014/B014_1.mat,B,1,1772.0,0014,,48000,192000,X190_DE_time
B014_2,数据集/数据集/源域数据集/48kHz_DE_data/B/0014/B014_2.mat,B,2,1748.0,0014,,48000,192000,X191_DE_time
B014_3,数据集/数据集/源域数据集/48kHz_DE_data/B/0014/B014_3.mat,B,3,1725.0,0014,,48000,192000,X192_DE_time
B021_0,数据集/数据集/源域数据集/48kHz_DE_data/B/0021/B021_0.mat,B,0,1797.0,0021,,48000,192000,X226_DE_time
B021_1,数据集/数据集/源域数据集/48kHz_DE_data/B/0021/B021_1.mat,B,1,1774.0,0021,,48000,192000,X227_DE_time
B021_2,数据集/数据集/源域数据集/48kHz_DE_data/B/0021/B021_2.mat,B,2,1754.0,0021,,48000,192000,X228_DE_time
B021_3,数据集/数据集/源域数据集/48kHz_DE_data/B/0021/B021_3.mat,B,3,1729.0,0021,,48000,192000,X229_DE_time
IR007_0,数据集/数据集/源域数据集/48kHz_DE_data/IR/0007/IR007_0.mat,IR,0,1796.0,0007,,48000,192000,X109_DE_time
IR007_1,数据集/数据集/源域数据集/48kHz_DE_data/IR/0007/IR007_1.mat,IR,1,1772.0,0007,,48000,192000,X110_DE_time
IR007_2,数据集/数据集/源域数据集/48kHz_DE_data/IR/0007/IR007_2.mat,IR,2,1748.0,0007,,48000,192000,X111_DE_time
IR007_3,数据集/数据集/源域数据集/48kHz_DE_data/IR/0007/IR007_3.mat,IR,3,1721.0,0007,,48000,192000,X112_DE_time
IR014_0,数据集/数据集/源域数据集/48kHz_DE_data/IR/0014/IR014_0.mat,IR,0,1796.0,0014,,48000,63788,X173_DE_time
IR014_1,数据集/数据集/源域数据集/48kHz_DE_data/IR/0014/IR014_1.mat,IR,1,1772.0,0014,,48000,192000,X175_DE_time
IR014_2,数据集/数据集/源域数据集/48kHz_DE_data/IR/0014/IR014_2.mat,IR,2,1751.0,0014,,48000,192000,X176_DE_time
IR014_3,数据集/数据集/源域数据集/48kHz_DE_data/IR/0014/IR014_3.mat,IR,3,1726.0,0014,,48000,192000,X177_DE_time
IR021_0,数据集/数据集/源域数据集/48kHz_DE_data/IR/0021/IR021_0.mat,IR,0,1796.0,0021,,48000,192000,X213_DE_time
IR021_1,数据集/数据集/源域数据集/48kHz_DE_data/IR/0021/IR021_1.mat,IR,1,1774.0,0021,,48000,192000,X214_DE_time
IR021_2,数据集/数据集/源域数据集/48kHz_DE_data/IR/0021/IR021_2.mat,IR,2,1752.0,0021,,48000,192000,X215_DE_time
IR021_3,数据集/数据集/源域数据集/48kHz_DE_data/IR/0021/IR021_3.mat,IR,3,1727.0,0021,,48000,192000,X217_DE_time
OR007@6_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0007/OR007@6_0.mat,OR,0,1796.0,0007,Centered,48000,192000,X135_DE_time
OR007@6_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0007/OR007@6_1.mat,OR,1,1774.0,0007,Centered,48000,192000,X136_DE_time
OR007@6_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0007/OR007@6_2.mat,OR,2,1750.0,0007,Centered,48000,192000,X137_DE_time
OR007@6_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0007/OR007@6_3.mat,OR,3,1725.0,0007,Centered,48000,192000,X138_DE_time
OR014@6_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0014/OR014@6_0.mat,OR,0,1796.0,0014,Centered,48000,192000,X201_DE_time
OR014@6_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0014/OR014@6_1.mat,OR,1,1772.0,0014,Centered,48000,192000,X202_DE_time
OR014@6_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0014/OR014@6_2.mat,OR,2,1749.0,0014,Centered,48000,192000,X203_DE_time
OR014@6_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0014/OR014@6_3.mat,OR,3,1723.0,0014,Centered,48000,192000,X204_DE_time
OR021@6_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0021/OR021@6_0.mat,OR,0,1796.0,0021,Centered,48000,192000,X238_DE_time
OR021@6_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0021/OR021@6_1.mat,OR,1,1771.0,0021,Centered,48000,192000,X239_DE_time
OR021@6_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0021/OR021@6_2.mat,OR,2,1747.0,0021,Centered,48000,192000,X240_DE_time
OR021@6_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Centered/0021/OR021@6_3.mat,OR,3,1719.0,0021,Centered,48000,192000,X241_DE_time
OR007@12_0,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0007/OR007@12_0.mat,OR,0,1796.0,0007,Opposite,48000,129969,X161_DE_time
OR007@12_1,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0007/OR007@12_1.mat,OR,1,1772.0,0007,Opposite,48000,192000,X162_DE_time
OR007@12_2,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0007/OR007@12_2.mat,OR,2,1749.0,0007,Opposite,48000,192000,X163_DE_time
OR007@12_3,数据集/数据集/源域数据集/48kHz_DE_data/OR/Opposite/0007/OR007@12_3.mat,OR,3,1723.0,0007,Opposite,48000,192000,X164_DE_time
