validation_scheme,outer_fold,model,feature,importance
lolo,1,random_forest,amp_rms_mean,0.024022127177112575
lolo,1,random_forest,amp_rms_std,0.019535950905903543
lolo,1,random_forest,amp_peak_mean,0.028441786128549123
lolo,1,random_forest,amp_peak_std,0.012120654957842791
lolo,1,random_forest,shape_skew_mean,0.007692555766580792
lolo,1,random_forest,shape_skew_std,0.0044504422325959405
lolo,1,random_forest,shape_kurtosis_mean,0.014346525548853427
lolo,1,random_forest,shape_kurtosis_std,0.0154489217976512
lolo,1,random_forest,shape_crest_mean,0.009462688931273094
lolo,1,random_forest,shape_crest_std,0.009192240621822808
lolo,1,random_forest,zcr_mean,0.02643916582293243
lolo,1,random_forest,zcr_std,0.002468616687543019
lolo,1,random_forest,psd_centroid_mean,0.01827077885398372
lolo,1,random_forest,psd_centroid_std,0.009483484643195015
lolo,1,random_forest,psd_bandwidth_mean,0.025293596860951114
lolo,1,random_forest,psd_bandwidth_std,0.006835277147623977
lolo,1,random_forest,psd_entropy_mean,0.003992766776386381
lolo,1,random_forest,psd_entropy_std,0.006736323254951152
lolo,1,random_forest,psd_peak_ratio_mean,0.014454460294685683
lolo,1,random_forest,psd_peak_ratio_std,0.025985531615877435
lolo,1,random_forest,env_rms_mean,0.022288587656036172
lolo,1,random_forest,env_rms_std,0.006503690534659009
lolo,1,random_forest,env_kurtosis_mean,0.019663884639530355
lolo,1,random_forest,env_kurtosis_std,0.00686741952779024
lolo,1,random_forest,env_entropy_mean,0.02556971375323809
lolo,1,random_forest,env_entropy_std,0.00868640219748996
lolo,1,random_forest,env_peak_ratio_mean,0.04038767613196145
lolo,1,random_forest,env_peak_ratio_std,0.010059904811533968
lolo,1,random_forest,psd_0_500_mean,0.030045322016593722
lolo,1,random_forest,psd_0_500_std,0.019417600922380884
lolo,1,random_forest,env_0_500_mean,0.024951108330077864
lolo,1,random_forest,env_0_500_std,0.04767835137117196
lolo,1,random_forest,psd_500_1000_mean,0.024276449906257352
lolo,1,random_forest,psd_500_1000_std,0.007004229609478737
lolo,1,random_forest,env_500_1000_mean,0.021963361554063195
lolo,1,random_forest,env_500_1000_std,0.046971040674140034
lolo,1,random_forest,psd_1000_2000_mean,0.008205916601736404
