epoch,train_loss,val_macro_f1,candidate,inner_fold,dropout,weight_decay,validation_scheme,outer_fold,stage
1,1.1899470942361015,0.8232600732600732,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
2,0.7593838487352643,0.886904761904762,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
3,0.5441540011337825,0.945054945054945,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
4,0.3748944614614759,0.945054945054945,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
5,0.23052864841052464,1.0,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
6,0.14255001502377646,0.9142857142857144,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
7,0.08251519501209259,0.8500000000000001,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
8,0.07030977894152914,0.8500000000000001,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
9,0.03411982634237835,0.9142857142857144,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
10,0.024143738406045095,0.9142857142857144,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
11,0.028729094059339592,0.8500000000000001,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
12,0.016182406672409604,0.9142857142857144,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
13,0.013747676674808775,0.9142857142857144,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
14,0.010637314324932439,0.8500000000000001,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
15,0.012099086240466152,0.9142857142857144,2.0,1.0,0.1,0.0001,lolo,1,inner_tuning
1,1.135818634714399,0.8617216117216118,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
2,0.7285346644265311,0.8785714285714287,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
3,0.5395727668489728,0.8682692307692308,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
4,0.35436793310301645,0.8617216117216118,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
5,0.2477414906024933,0.8617216117216118,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
6,0.22003411608082907,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
7,0.1583738454750606,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
8,0.10372973765645709,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
9,0.07107855007052422,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
10,0.062415801520858495,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
11,0.06170074588486126,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
12,0.042101704914655,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
13,0.04425908837999616,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
14,0.04522446582892111,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
15,0.05405515831496034,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
16,0.03179476064230714,0.945054945054945,2.0,2.0,0.1,0.0001,lolo,1,inner_tuning
1,1.1720051424843925,0.8785714285714287,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
2,0.7919603160449437,0.8785714285714287,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
3,0.5201337763241359,0.8617216117216118,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
4,0.387988771711077,0.8617216117216118,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
5,0.21250119379588536,0.8617216117216118,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
6,0.184204135622297,0.8617216117216118,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
7,0.13026861314262664,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
8,0.095940072621618,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
9,0.05353316265557494,0.8617216117216118,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
10,0.06390759242432457,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
11,0.04313563821571214,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
12,0.045532525916184695,0.945054945054945,2.0,3.0,0.1,0.0001,lolo,1,inner_tuning
