model,seed,metric,estimate,ci_low,ci_high,n_files
logistic_regression,2025,macro_f1,0.8541434410999628,0.7544325610812486,0.9507407407407407,56
logistic_regression,2025,balanced_accuracy,0.880952380952381,0.7946428571428572,0.9613095238095237,56
logistic_regression,2025,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
logistic_regression,2025,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
logistic_regression,2025,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
logistic_regression,2026,macro_f1,0.8541434410999628,0.7544325610812486,0.9507407407407407,56
logistic_regression,2026,balanced_accuracy,0.880952380952381,0.7946428571428572,0.9613095238095237,56
logistic_regression,2026,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
logistic_regression,2026,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
logistic_regression,2026,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
logistic_regression,2027,macro_f1,0.8697323246133746,0.77192450674762,0.9580712788259957,56
logistic_regression,2027,balanced_accuracy,0.9017857142857143,0.824404761904762,0.9702380952380952,56
logistic_regression,2027,accuracy,0.875,0.7857142857142857,0.9642857142857143,56
logistic_regression,2027,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
logistic_regression,2027,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
logistic_regression,2028,macro_f1,0.909285464709993,0.8360944979350151,0.9715099715099715,56
logistic_regression,2028,balanced_accuracy,0.9226190476190476,0.8511904761904763,0.9821428571428572,56
logistic_regression,2028,accuracy,0.8928571428571429,0.8035714285714286,0.9642857142857143,56
logistic_regression,2028,recall_IR,0.9166666666666666,0.75,1.0,56
logistic_regression,2028,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
logistic_regression,2029,macro_f1,0.8541434410999628,0.7544325610812486,0.9507407407407407,56
logistic_regression,2029,balanced_accuracy,0.880952380952381,0.7946428571428572,0.9613095238095237,56
logistic_regression,2029,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
logistic_regression,2029,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
logistic_regression,2029,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
logistic_regression,mean_of_seeds,macro_f1,0.868289622524651,0.7801241339703108,0.9545366710584101,56
logistic_regression,mean_of_seeds,balanced_accuracy,0.893452380952381,0.8166666666666668,0.9613095238095237,56
logistic_regression,mean_of_seeds,accuracy,0.8678571428571429,0.7714285714285716,0.9535714285714286,56
logistic_regression,mean_of_seeds,recall_IR,0.85,0.6333333333333334,1.0,56
logistic_regression,mean_of_seeds,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857142,56
mlp,2025,macro_f1,0.9428341384863125,0.8807120674356699,0.9854545454545455,56
mlp,2025,balanced_accuracy,0.9523809523809523,0.8958333333333334,0.9910714285714286,56
mlp,2025,accuracy,0.9285714285714286,0.8571428571428571,0.9821428571428571,56
mlp,2025,recall_IR,0.9166666666666666,0.75,1.0,56
mlp,2025,recall_OR,0.8928571428571429,0.75,1.0,56
mlp,2026,macro_f1,0.9358585858585858,0.8699634814363968,0.9854545454545455,56
mlp,2026,balanced_accuracy,0.9404761904761905,0.8779761904761905,0.9910714285714286,56
mlp,2026,accuracy,0.9285714285714286,0.8571428571428571,0.9821428571428571,56
mlp,2026,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
mlp,2026,recall_OR,0.9285714285714286,0.8214285714285714,1.0,56
mlp,2027,macro_f1,0.9025764895330113,0.8239345611285267,0.965354211006385,56
mlp,2027,balanced_accuracy,0.9107142857142857,0.8333333333333334,0.9732142857142857,56
mlp,2027,accuracy,0.8928571428571429,0.8035714285714286,0.9642857142857143,56
mlp,2027,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
mlp,2027,recall_OR,0.8928571428571429,0.75,1.0,56
mlp,2028,macro_f1,0.9358585858585858,0.8699634814363968,0.9854545454545455,56
mlp,2028,balanced_accuracy,0.9404761904761905,0.8779761904761905,0.9910714285714286,56
mlp,2028,accuracy,0.9285714285714286,0.8571428571428571,0.9821428571428571,56
mlp,2028,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
mlp,2028,recall_OR,0.9285714285714286,0.8214285714285714,1.0,56
mlp,2029,macro_f1,0.9200183356006388,0.8550420168067228,0.9791304347826086,56
mlp,2029,balanced_accuracy,0.9315476190476191,0.8690476190476191,0.9821428571428572,56
mlp,2029,accuracy,0.9107142857142857,0.8392857142857143,0.9821428571428571,56
mlp,2029,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
mlp,2029,recall_OR,0.8928571428571429,0.75,1.0,56
mlp,mean_of_seeds,macro_f1,0.9274292270674268,0.8659526883140747,0.9770878010878011,56
mlp,mean_of_seeds,balanced_accuracy,0.9351190476190474,0.8761904761904763,0.981547619047619,56
mlp,mean_of_seeds,accuracy,0.9178571428571429,0.8463392857142856,0.975,56
mlp,mean_of_seeds,recall_IR,0.85,0.6333333333333334,1.0,56
mlp,mean_of_seeds,recall_OR,0.9071428571428573,0.7928571428571429,1.0,56
random_forest,2025,macro_f1,0.8912037037037037,0.8099681020733652,0.958041958041958,56
random_forest,2025,balanced_accuracy,0.8898809523809523,0.8095238095238095,0.9613095238095237,56
random_forest,2025,accuracy,0.875,0.7857142857142857,0.9464285714285714,56
random_forest,2025,recall_IR,0.75,0.5,1.0,56
random_forest,2025,recall_OR,0.8928571428571429,0.7857142857142857,1.0,56
random_forest,2026,macro_f1,0.920954045954046,0.8516144888082273,0.9791304347826086,56
random_forest,2026,balanced_accuracy,0.9196428571428572,0.8482142857142857,0.9821428571428572,56
random_forest,2026,accuracy,0.9107142857142857,0.8392857142857143,0.9821428571428571,56
random_forest,2026,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
random_forest,2026,recall_OR,0.9285714285714286,0.8214285714285714,1.0,56
random_forest,2027,macro_f1,0.920954045954046,0.8516144888082273,0.9791304347826086,56
random_forest,2027,balanced_accuracy,0.9196428571428572,0.8482142857142857,0.9821428571428572,56
random_forest,2027,accuracy,0.9107142857142857,0.8392857142857143,0.9821428571428571,56
random_forest,2027,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
random_forest,2027,recall_OR,0.9285714285714286,0.8214285714285714,1.0,56
random_forest,2028,macro_f1,0.920954045954046,0.8516144888082273,0.9791304347826086,56
random_forest,2028,balanced_accuracy,0.9196428571428572,0.8482142857142857,0.9821428571428572,56
random_forest,2028,accuracy,0.9107142857142857,0.8392857142857143,0.9821428571428571,56
random_forest,2028,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
random_forest,2028,recall_OR,0.9285714285714286,0.8214285714285714,1.0,56
random_forest,2029,macro_f1,0.9358585858585858,0.8699634814363968,0.9854545454545455,56
random_forest,2029,balanced_accuracy,0.9404761904761905,0.8779761904761905,0.9910714285714286,56
random_forest,2029,accuracy,0.9285714285714286,0.8571428571428571,0.9821428571428571,56
random_forest,2029,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
random_forest,2029,recall_OR,0.9285714285714286,0.8214285714285714,1.0,56
random_forest,mean_of_seeds,macro_f1,0.9179848854848854,0.8501124403802469,0.9732813852813853,56
random_forest,mean_of_seeds,balanced_accuracy,0.9178571428571429,0.8482142857142858,0.9762053571428572,56
random_forest,mean_of_seeds,accuracy,0.9071428571428571,0.8321428571428571,0.9678571428571429,56
random_forest,mean_of_seeds,recall_IR,0.8166666666666668,0.5833333333333334,1.0,56
random_forest,mean_of_seeds,recall_OR,0.9214285714285715,0.8142857142857143,1.0,56
rbf_svm,2025,macro_f1,0.8485449735449735,0.7108045977011495,0.9428341384863125,56
rbf_svm,2025,balanced_accuracy,0.8392857142857143,0.705282738095238,0.9523809523809523,56
rbf_svm,2025,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
rbf_svm,2025,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
rbf_svm,2025,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
rbf_svm,2026,macro_f1,0.7936507936507936,0.6069908858330668,0.9137806637806638,56
rbf_svm,2026,balanced_accuracy,0.7767857142857143,0.6339285714285714,0.9136904761904763,56
rbf_svm,2026,accuracy,0.8392857142857143,0.7321428571428571,0.9285714285714286,56
rbf_svm,2026,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
rbf_svm,2026,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
rbf_svm,2027,macro_f1,0.8454627133872417,0.7079100529100529,0.9428341384863125,56
rbf_svm,2027,balanced_accuracy,0.8392857142857143,0.705282738095238,0.9523809523809523,56
rbf_svm,2027,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
rbf_svm,2027,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
rbf_svm,2027,recall_OR,0.8571428571428571,0.7142857142857143,0.9642857142857143,56
rbf_svm,2028,macro_f1,0.8454627133872417,0.7079100529100529,0.9428341384863125,56
rbf_svm,2028,balanced_accuracy,0.8392857142857143,0.705282738095238,0.9523809523809523,56
rbf_svm,2028,accuracy,0.8571428571428571,0.75,0.9464285714285714,56
rbf_svm,2028,recall_IR,0.8333333333333334,0.5833333333333334,1.0,56
