model,seed,calibration,nll,brier,ece
mlp,2025,after,0.24184924375005906,0.12405972985064251,0.04700385141325057
mlp,2025,before,0.2212920389523357,0.12148021901917469,0.056668155535714436
mlp,2026,after,0.2402722299184619,0.1266312700253011,0.07776445170994552
mlp,2026,before,0.19585268287924298,0.11429184497593181,0.05557891589285721
mlp,2027,after,0.34079828946788054,0.18020005891270882,0.10694050076487219
mlp,2027,before,0.2763159647762772,0.1527452707164583,0.04471941303571418
mlp,2028,after,0.30622023365461887,0.1286188111589587,0.06419190770467892
mlp,2028,before,0.2786265047788626,0.13557073171266606,0.0989506435714285
mlp,2029,after,0.31110507345657873,0.15395262034830087,0.1458987266541763
mlp,2029,before,0.24828119684772307,0.1297276285595507,0.056112621785714266
