class_or_average,precision,recall,f1-score,support,model,seed
N,0.8,1.0,0.8888888888888888,4.0,logistic_regression,2025
B,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0,logistic_regression,2025
IR,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,logistic_regression,2025
OR,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0,logistic_regression,2025
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,logistic_regression,2025
macro avg,0.8366133866133867,0.880952380952381,0.8541434410999628,56.0,logistic_regression,2025
weighted avg,0.8665477379763094,0.8571428571428571,0.8591070764983808,56.0,logistic_regression,2025
N,0.8,1.0,0.8888888888888888,4.0,logistic_regression,2026
B,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0,logistic_regression,2026
IR,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,logistic_regression,2026
OR,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0,logistic_regression,2026
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,logistic_regression,2026
macro avg,0.8366133866133867,0.880952380952381,0.8541434410999628,56.0,logistic_regression,2026
weighted avg,0.8665477379763094,0.8571428571428571,0.8591070764983808,56.0,logistic_regression,2026
N,0.8,1.0,0.8888888888888888,4.0,logistic_regression,2027
B,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,logistic_regression,2027
IR,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,logistic_regression,2027
OR,0.96,0.8571428571428571,0.9056603773584906,28.0,logistic_regression,2027
accuracy,0.875,0.875,0.875,0.875,logistic_regression,2027
macro avg,0.8506060606060606,0.9017857142857143,0.8697323246133746,56.0,logistic_regression,2027
weighted avg,0.8890909090909089,0.875,0.8772608305011914,56.0,logistic_regression,2027
N,1.0,1.0,1.0,4.0,logistic_regression,2028
B,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,logistic_regression,2028
IR,0.9166666666666666,0.9166666666666666,0.9166666666666666,12.0,logistic_regression,2028
OR,0.96,0.8571428571428571,0.9056603773584906,28.0,logistic_regression,2028
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,logistic_regression,2028
macro avg,0.9025,0.9226190476190476,0.909285464709993,56.0,logistic_regression,2028
weighted avg,0.9049999999999999,0.8928571428571429,0.8952905061395627,56.0,logistic_regression,2028
N,0.8,1.0,0.8888888888888888,4.0,logistic_regression,2029
B,0.7142857142857143,0.8333333333333334,0.7692307692307693,12.0,logistic_regression,2029
IR,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,logistic_regression,2029
OR,0.9230769230769231,0.8571428571428571,0.8888888888888888,28.0,logistic_regression,2029
accuracy,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,logistic_regression,2029
macro avg,0.8366133866133867,0.880952380952381,0.8541434410999628,56.0,logistic_regression,2029
weighted avg,0.8665477379763094,0.8571428571428571,0.8591070764983808,56.0,logistic_regression,2029
N,1.0,1.0,1.0,4.0,mlp,2025
B,0.8,1.0,0.8888888888888888,12.0,mlp,2025
IR,1.0,0.9166666666666666,0.9565217391304348,12.0,mlp,2025
OR,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0,mlp,2025
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,mlp,2025
macro avg,0.9403846153846154,0.9523809523809523,0.9428341384863125,56.0,mlp,2025
weighted avg,0.937912087912088,0.9285714285714286,0.9298366689671038,56.0,mlp,2025
N,1.0,1.0,1.0,4.0,mlp,2026
B,0.8,1.0,0.8888888888888888,12.0,mlp,2026
IR,1.0,0.8333333333333334,0.9090909090909091,12.0,mlp,2026
OR,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0,mlp,2026
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,mlp,2026
macro avg,0.9407407407407407,0.9404761904761905,0.9358585858585858,56.0,mlp,2026
weighted avg,0.9386243386243386,0.9285714285714286,0.9294372294372294,56.0,mlp,2026
N,1.0,1.0,1.0,4.0,mlp,2027
B,0.7333333333333333,0.9166666666666666,0.8148148148148148,12.0,mlp,2027
IR,0.9090909090909091,0.8333333333333334,0.8695652173913043,12.0,mlp,2027
OR,0.9615384615384616,0.8928571428571429,0.9259259259259259,28.0,mlp,2027
accuracy,0.8928571428571429,0.8928571428571429,0.8928571428571429,0.8928571428571429,mlp,2027
macro avg,0.9009906759906761,0.9107142857142857,0.9025764895330113,56.0,mlp,2027
weighted avg,0.9041458541458541,0.8928571428571429,0.8953301127214169,56.0,mlp,2027
N,1.0,1.0,1.0,4.0,mlp,2028
B,0.8,1.0,0.8888888888888888,12.0,mlp,2028
IR,1.0,0.8333333333333334,0.9090909090909091,12.0,mlp,2028
OR,0.9629629629629629,0.9285714285714286,0.9454545454545454,28.0,mlp,2028
accuracy,0.9285714285714286,0.9285714285714286,0.9285714285714286,0.9285714285714286,mlp,2028
