model,factor,level,n_unique_files,seed_average_error_rate
logistic_regression,held_out_load,0,14,0.21428571428571427
logistic_regression,held_out_load,1,14,0.11428571428571428
logistic_regression,held_out_load,2,14,0.07142857142857142
logistic_regression,held_out_load,3,14,0.12857142857142856
mlp,held_out_load,0,14,0.2
mlp,held_out_load,1,14,0.05714285714285714
mlp,held_out_load,2,14,0.0
mlp,held_out_load,3,14,0.07142857142857142
random_forest,held_out_load,0,14,0.2
random_forest,held_out_load,1,14,0.0
random_forest,held_out_load,2,14,0.0857142857142857
random_forest,held_out_load,3,14,0.0857142857142857
rbf_svm,held_out_load,0,14,0.2857142857142857
rbf_svm,held_out_load,1,14,0.0857142857142857
rbf_svm,held_out_load,2,14,0.07142857142857142
rbf_svm,held_out_load,3,14,0.14285714285714285
logistic_regression,true_label,B,12,0.13333333333333333
logistic_regression,true_label,IR,12,0.15
logistic_regression,true_label,N,4,0.0
logistic_regression,true_label,OR,28,0.14285714285714285
mlp,true_label,B,12,0.016666666666666666
mlp,true_label,IR,12,0.14999999999999997
mlp,true_label,N,4,0.0
mlp,true_label,OR,28,0.09285714285714285
random_forest,true_label,B,12,0.06666666666666667
random_forest,true_label,IR,12,0.1833333333333333
random_forest,true_label,N,4,0.0
random_forest,true_label,OR,28,0.07857142857142856
rbf_svm,true_label,B,12,0.08333333333333333
rbf_svm,true_label,IR,12,0.16666666666666666
rbf_svm,true_label,N,4,0.3
rbf_svm,true_label,OR,28,0.14285714285714285
logistic_regression,fault_size,0007,20,0.0
logistic_regression,fault_size,0014,12,0.4833333333333334
logistic_regression,fault_size,0021,20,0.08
logistic_regression,fault_size,,4,0.0
mlp,fault_size,0007,20,0.0
mlp,fault_size,0014,12,0.29999999999999993
mlp,fault_size,0021,20,0.05
mlp,fault_size,,4,0.0
random_forest,fault_size,0007,20,0.04
random_forest,fault_size,0014,12,0.3666666666666666
random_forest,fault_size,0021,20,0.0
random_forest,fault_size,,4,0.0
rbf_svm,fault_size,0007,20,0.0
rbf_svm,fault_size,0014,12,0.5
rbf_svm,fault_size,0021,20,0.05
rbf_svm,fault_size,,4,0.3
logistic_regression,fault_position,Centered,12,0.3333333333333333
logistic_regression,fault_position,Opposite,8,0.0
logistic_regression,fault_position,Orthogonal,8,0.0
logistic_regression,fault_position,,28,0.12142857142857144
mlp,fault_position,Centered,12,0.21666666666666665
mlp,fault_position,Opposite,8,0.0
mlp,fault_position,Orthogonal,8,0.0
mlp,fault_position,,28,0.07142857142857142
random_forest,fault_position,Centered,12,0.1833333333333333
random_forest,fault_position,Opposite,8,0.0
random_forest,fault_position,Orthogonal,8,0.0
random_forest,fault_position,,28,0.10714285714285714
rbf_svm,fault_position,Centered,12,0.3333333333333333
rbf_svm,fault_position,Opposite,8,0.0
rbf_svm,fault_position,Orthogonal,8,0.0
rbf_svm,fault_position,,28,0.15
