file_id,label,load,pc1,pc2
B007_0,B,0,-1.9983201095676428,2.2984429851769153
B007_1,B,1,-1.6630525807572536,2.351753065981775
B007_2,B,2,-1.8613982059674226,2.350432182970949
B007_3,B,3,-1.69744222195098,3.1263936065947178
B014_0,B,0,3.6258032710695307,2.963850108969972
B014_1,B,1,6.212972569565359,3.1852979456829664
B014_2,B,2,8.855135470650382,3.079259561435516
B014_3,B,3,7.291945492373907,3.2883578850308126
B021_0,B,0,-0.2567160471221123,0.5641930309242924
B021_1,B,1,6.145963355853883,1.005403958995967
B021_2,B,2,8.159318930874564,0.414306779698077
B021_3,B,3,10.114999250854968,1.3738941823714128
IR007_0,IR,0,-3.365881394373153,2.0887154574030187
IR007_1,IR,1,-3.439019682182146,1.9021070811482732
IR007_2,IR,2,-3.6106826939664654,2.1640412103203293
IR007_3,IR,3,-3.6106385196072326,2.633639730688126
IR014_0,IR,0,-0.4379553080356055,-0.8231469697414358
IR014_1,IR,1,0.7681459396437798,-3.168552473069855
IR014_2,IR,2,0.6848655937586717,-2.9810599794366057
IR014_3,IR,3,9.121462757935358,0.47850089387399075
IR021_0,IR,0,-1.3698837886950157,-1.080715485436286
IR021_1,IR,1,-1.2004921381808602,-1.881881183639344
IR021_2,IR,2,-1.7608957624439585,-3.1024031371901497
IR021_3,IR,3,-1.879095800839955,-2.6604658595246624
OR007@6_0,OR,0,-2.8315421399920924,-4.843564558292472
OR007@6_1,OR,1,-3.373401552280755,-4.274256939893993
OR007@6_2,OR,2,-3.3827710585335735,-4.1346396144434845
OR007@6_3,OR,3,-3.4638761626780434,-3.8920714889338233
OR014@6_0,OR,0,1.4353677254888542,2.822011588066323
OR014@6_1,OR,1,-2.1679322491601556,1.8517252249827663
OR014@6_2,OR,2,4.4874386694495,3.356557242532448
OR014@6_3,OR,3,-2.1086824583101884,1.6360167055443595
OR021@6_0,OR,0,1.2719533722829672,-2.7541506434547305
OR021@6_1,OR,1,0.9421254878139846,-2.3771479388106274
OR021@6_2,OR,2,1.6056714819865159,-2.3050050049515147
OR021@6_3,OR,3,1.6578061472115975,-2.303478922095654
OR007@12_0,OR,0,-0.7976070528111712,-0.07354511700475108
OR007@12_1,OR,1,-0.8256929981409927,-1.8109235790091915
OR007@12_2,OR,2,-0.9683379570070083,-1.7837187784171664
OR007@12_3,OR,3,-0.823809971467381,-1.145893288788404
OR021@12_0,OR,0,0.24972265417737002,-5.414398882178386
OR021@12_1,OR,1,0.14313357621168982,-5.0067120920977555
OR021@12_2,OR,2,0.6891816227486138,-4.251666072420477
OR021@12_3,OR,3,0.45278409103994666,-3.9258008857160567
OR007@3_0,OR,0,-2.714794563424149,-1.191833347017429
OR007@3_1,OR,1,-2.9674773537992567,-1.4368575735472489
OR007@3_2,OR,2,-3.2583236305030225,-1.8348714546065794
OR007@3_3,OR,3,-3.23423001710105,-1.3320198198470374
OR021@3_0,OR,0,-1.8174271607226768,0.5277728085047645
OR021@3_1,OR,1,-1.277019388251612,-1.0899777420332428
OR021@3_2,OR,2,-1.2941324788247737,-1.0782573976785241
OR021@3_3,OR,3,-1.7560522391644748,-0.5430823450044552
N_0,N,0,-3.0267198481776525,8.3549685801186
N_1_(1772rpm),N,1,-4.765322873624171,7.916829655953522
N_2_(1750rpm),N,2,-5.436395410102939,8.028606238623716
N_3,N,3,-5.506775033127058,8.177620418726132
