feature_group,model,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,recall_N_mean,recall_N_std,recall_B_mean,recall_B_std,recall_IR_mean,recall_IR_std,recall_OR_mean,recall_OR_std,min_class_mean_recall,load0_macro_f1_mean
Diagnostic26,logistic_regression,0.8719139194139194,0.021436533851428647,0.893452380952381,0.01863389981249829,0.8678571428571429,0.015971914124998557,0.869047619047619,0.01969267897003875,0.893452380952381,0.01863389981249829,1.0,0.0,0.8666666666666666,0.045643546458763874,0.85,0.03726779962499651,0.8571428571428571,0.0,0.85,0.7976190476190476
Diagnostic26,mlp,0.9229235347985348,0.01780395780647524,0.9351190476190476,0.015521910488577739,0.9178571428571429,0.01597191412499853,0.9393154761904763,0.015135984256601894,0.9351190476190476,0.015521910488577685,1.0,0.0,0.9833333333333332,0.03726779962499652,0.85,0.03726779962499654,0.9071428571428571,0.019561519910898845,0.85,0.7962728937728938
NoAmplitude,logistic_regression,0.8773122710622709,0.00658437306448404,0.8976190476190476,0.009316949906249145,0.8714285714285713,0.007985957062499266,0.8772023809523809,0.009526366844155936,0.8976190476190476,0.009316949906249145,1.0,0.0,0.9,0.037267799624996524,0.8333333333333333,0.0,0.8571428571428571,0.0,0.8333333333333333,0.7976190476190476
NoAmplitude,mlp,0.8903754578754579,0.019705794903967597,0.9053571428571429,0.016756771738403876,0.8821428571428571,0.020360275448198864,0.9060416666666666,0.018264997584534166,0.9053571428571429,0.01675677173840386,1.0,0.0,0.9333333333333332,0.037267799624996496,0.8166666666666667,0.037267799624996475,0.8714285714285713,0.03194382824999702,0.8166666666666667,0.7971428571428572
NoEnvelope,logistic_regression,0.8730025183150183,0.004159352636718398,0.8994047619047618,0.0053239713749994805,0.875,0.0,0.874454365079365,0.007098628499999315,0.8994047619047618,0.0053239713749994805,1.0,0.0,0.9,0.037267799624996496,0.8333333333333333,0.0,0.8642857142857142,0.015971914124998546,0.8333333333333333,0.7901785714285714
NoEnvelope,mlp,0.8914354395604395,0.024721650142176785,0.9059523809523811,0.020897011525645205,0.8785714285714287,0.023282865732866597,0.9002083333333333,0.01644281268956109,0.9059523809523811,0.020897011525645205,1.0,0.0,0.9333333333333332,0.037267799624996496,0.8333333333333333,0.08333333333333331,0.8571428571428571,0.025253813613805305,0.8333333333333333,0.8207967032967034
NoOrder,logistic_regression,0.8598942723942724,0.02393218003584763,0.8773809523809524,0.010180137724099446,0.85,0.020360275448198923,0.8581845238095237,0.026445633769928794,0.8773809523809524,0.010180137724099453,1.0,0.0,0.8333333333333333,0.05892556509887895,0.8333333333333333,0.05892556509887896,0.8428571428571429,0.040720550896397784,0.8333333333333333,0.7166666666666666
NoOrder,mlp,0.8968292124542124,0.017283926730070003,0.9095238095238095,0.012378949013741314,0.8857142857142858,0.020360275448198833,0.9167410714285713,0.029043601217543125,0.9095238095238095,0.01237894901374134,1.0,0.0,0.95,0.045643546458763846,0.8166666666666667,0.037267799624996475,0.8714285714285716,0.040720550896397784,0.8166666666666667,0.770357142857143
Transfer20,logistic_regression,0.868452380952381,0.008777605088223856,0.893452380952381,0.011410886614690969,0.8678571428571429,0.009780759955449433,0.865625,0.007743101631397442,0.893452380952381,0.011410886614690969,1.0,0.0,0.8833333333333332,0.045643546458763874,0.8333333333333333,0.0,0.8571428571428571,0.0,0.8333333333333333,0.7976190476190476
Transfer20,mlp,0.8838072344322345,0.051187984025910876,0.8970238095238094,0.050226245499354755,0.875,0.04374088826398534,0.8959523809523808,0.046329426153897416,0.8970238095238094,0.050226245499354734,1.0,0.0,0.9,0.13693063937629155,0.8166666666666667,0.0697216688778396,0.8714285714285713,0.019561519910898793,0.8166666666666667,0.8057142857142857
