model,held_out_load,macro_f1_mean,macro_f1_std,macro_f1_min,macro_f1_max,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_min,balanced_accuracy_max,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,macro_precision_mean,macro_precision_std,macro_precision_min,macro_precision_max,macro_recall_mean,macro_recall_std,macro_recall_min,macro_recall_max,recall_N_mean,recall_N_std,recall_N_min,recall_N_max,recall_B_mean,recall_B_std,recall_B_min,recall_B_max,recall_IR_mean,recall_IR_std,recall_IR_min,recall_IR_max,recall_OR_mean,recall_OR_std,recall_OR_min,recall_OR_max
logistic_regression,0,0.7976190476190476,0.0,0.7976190476190476,0.7976190476190476,0.7976190476190476,0.0,0.7976190476190476,0.7976190476190476,0.7857142857142857,0.0,0.7857142857142857,0.7857142857142857,0.7976190476190476,0.0,0.7976190476190476,0.7976190476190476,0.7976190476190476,0.0,0.7976190476190476,0.7976190476190476,1.0,0.0,1.0,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
logistic_regression,1,0.9065934065934066,0.03511042035289525,0.8809523809523809,0.945054945054945,0.9142857142857143,0.045643546458763944,0.8809523809523809,0.9642857142857144,0.8857142857142858,0.03912303982179763,0.8571428571428571,0.9285714285714286,0.9035714285714285,0.030972406525589753,0.8809523809523809,0.9375,0.9142857142857143,0.045643546458763944,0.8809523809523809,0.9642857142857144,1.0,0.0,1.0,1.0,0.8,0.18257418583505539,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
logistic_regression,2,0.945054945054945,0.0,0.945054945054945,0.945054945054945,0.9642857142857144,0.0,0.9642857142857144,0.9642857142857144,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,0.9375,0.0,0.9375,0.9375,0.9642857142857144,0.0,0.9642857142857144,0.9642857142857144,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
logistic_regression,3,0.8383882783882785,0.059628479399994376,0.8117216117216117,0.945054945054945,0.8976190476190476,0.037267799624996566,0.8809523809523809,0.9642857142857144,0.8714285714285713,0.03194382824999703,0.8571428571428571,0.9285714285714286,0.8375,0.05590169943749474,0.8125,0.9375,0.8976190476190476,0.037267799624996566,0.8809523809523809,0.9642857142857144,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.7333333333333333,0.14907119849998599,0.6666666666666666,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
mlp,0,0.7962728937728938,0.04604481978858284,0.7724358974358974,0.8785714285714287,0.8142857142857143,0.037267799624996496,0.7976190476190476,0.8809523809523809,0.8,0.031943828249997,0.7857142857142857,0.8571428571428571,0.8739285714285714,0.01624901880868194,0.8642857142857143,0.9017857142857144,0.8142857142857143,0.037267799624996475,0.7976190476190477,0.8809523809523809,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.4,0.14907119849998599,0.3333333333333333,0.6666666666666666,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
mlp,1,0.9503663003663003,0.05665975223661268,0.8617216117216118,1.0,0.961904761904762,0.048649563670720375,0.8809523809523809,1.0,0.9428571428571428,0.0597614304667197,0.8571428571428571,1.0,0.9458333333333332,0.06002025121203307,0.8541666666666666,1.0,0.961904761904762,0.048649563670720375,0.8809523809523809,1.0,1.0,0.0,1.0,1.0,0.9333333333333332,0.14907119849998599,0.6666666666666666,1.0,1.0,0.0,1.0,1.0,0.9142857142857143,0.07824607964359517,0.8571428571428571,1.0
mlp,2,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
mlp,3,0.945054945054945,0.0,0.945054945054945,0.945054945054945,0.9642857142857144,0.0,0.9642857142857144,0.9642857142857144,0.9285714285714286,0.0,0.9285714285714286,0.9285714285714286,0.9375,0.0,0.9375,0.9375,0.9642857142857144,0.0,0.9642857142857144,0.9642857142857144,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
random_forest,0,0.8290476190476191,0.027684651149997453,0.8166666666666667,0.8785714285714287,0.8142857142857143,0.037267799624996496,0.7976190476190476,0.8809523809523809,0.8,0.031943828249996996,0.7857142857142857,0.8571428571428571,0.8636904761904762,0.021295885499998057,0.8541666666666666,0.9017857142857144,0.8142857142857143,0.037267799624996496,0.7976190476190476,0.8809523809523809,1.0,0.0,1.0,1.0,0.7333333333333333,0.149071198499986,0.6666666666666666,1.0,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.8571428571428571,0.0,0.8571428571428571,0.8571428571428571
random_forest,1,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
