model,file_id,true_label,n_wrong_seeds,n_seeds,most_common_wrong_label,mean_true_class_probability,mean_predicted_confidence,fault_size,fault_position,load,rpm
logistic_regression,B021_0,B,5,5,IR,0.30964379949006116,0.5507529511587658,0021,,0,1797.0
logistic_regression,IR014_0,IR,5,5,OR,0.2627542769574287,0.543142123977482,0014,,0,1796.0
logistic_regression,OR014@6_0,OR,5,5,B,0.2068532788722639,0.7299744730361958,0014,Centered,0,1796.0
logistic_regression,OR014@6_1,OR,5,5,B,0.21932029756820212,0.692643990974469,0014,Centered,1,1772.0
logistic_regression,OR014@6_2,OR,5,5,B,0.008831733980216716,0.9882776113485316,0014,Centered,2,1749.0
logistic_regression,OR014@6_3,OR,5,5,B,0.1712048870597142,0.6453573138824379,0014,Centered,3,1723.0
mlp,IR014_0,IR,5,5,OR,0.05583295580000001,0.6846748479999999,0014,,0,1796.0
mlp,OR014@6_0,OR,5,5,B,0.19574503199999999,0.775261152,0014,Centered,0,1796.0
mlp,OR014@6_3,OR,5,5,B,0.19714729800000003,0.7795811520000001,0014,Centered,3,1723.0
random_forest,IR014_0,IR,5,5,OR,0.12603945079916093,0.6289113105422753,0014,,0,1796.0
random_forest,IR014_3,IR,5,5,B,0.10148135156183355,0.4751703403366596,0014,,3,1726.0
random_forest,OR014@6_0,OR,5,5,B,0.20885867852670542,0.7532863682082696,0014,Centered,0,1796.0
random_forest,OR014@6_2,OR,5,5,B,0.21647347782648682,0.7290697219804162,0014,Centered,2,1749.0
rbf_svm,B021_0,B,5,5,IR,0.27093247359457606,0.49319054248653355,0021,,0,1797.0
rbf_svm,IR014_0,IR,5,5,OR,0.24183586950252844,0.6148187166974732,0014,,0,1796.0
rbf_svm,IR014_3,IR,5,5,B,0.17152016347688157,0.36839690177384676,0014,,3,1726.0
rbf_svm,N_0,N,5,5,IR,0.16250339262500021,0.3234144074348322,,,0,1796.0
rbf_svm,OR014@6_0,OR,5,5,B,0.35802455802137256,0.5770371029294388,0014,Centered,0,1796.0
