model,calibration,bin,n_seed_file_predictions,n_unique_files,confidence,accuracy
mlp,before,3,1,1,0.34977463,0.0
mlp,before,4,7,7,0.47994111857142857,0.5714285714285714
mlp,before,5,9,7,0.5539756411111111,0.7777777777777778
mlp,before,6,16,9,0.6625341181250001,0.8125
mlp,before,7,29,17,0.7523793748275864,0.6896551724137931
mlp,before,8,39,28,0.8472318169230771,0.8974358974358975
mlp,before,9,179,47,0.9802030974301675,0.994413407821229
mlp,after,4,8,6,0.45238584700727724,0.25
mlp,after,5,12,9,0.5529346845227208,1.0
mlp,after,6,17,14,0.6439573613919237,0.7647058823529411
mlp,after,7,27,19,0.752063422608246,0.9259259259259259
mlp,after,8,31,23,0.8408786593600434,0.7419354838709677
mlp,after,9,185,53,0.9837442001881168,0.9837837837837838
