file_id,method,predicted_label,confidence,window_vote_ratio,normalized_entropy,probability_margin,window_probability_std,prob_N,prob_B,prob_IR,prob_OR
A,coral_loto,IR,0.43519019235495576,1.0,0.8990159457485459,0.13845510488014334,0.01648735848827745,0.08961243468025439,0.1784622854899774,0.43519019235495576,0.2967350874748124
B,coral_loto,OR,0.36710051993005216,1.0,0.9642448616798021,0.08766267411510004,0.007164073556068958,0.17869632055456627,0.1747653137004296,0.2794378458149521,0.36710051993005216
C,coral_loto,B,0.5177076763843554,1.0,0.785616146320599,0.278745327346198,0.056382541730587654,0.01725698969949012,0.5177076763843554,0.23896234903815744,0.22607298487799704
D,coral_loto,OR,0.373500465365097,1.0,0.9362329552115801,0.05528032547513373,0.0013815418424700284,0.3182201398899633,0.11365603845294238,0.19462335629199728,0.373500465365097
E,coral_loto,B,0.7103148022299258,1.0,0.5908274730353338,0.5504631765486405,0.09493689969094354,0.0040282270177104,0.7103148022299258,0.15985162568128536,0.1258053450710782
F,coral_loto,OR,0.3681792182197491,1.0,0.9436385663970277,0.06663400978148426,0.0017075720421709732,0.3015452084382648,0.1140928695260776,0.21618270381590854,0.3681792182197491
G,coral_loto,OR,0.366831596078858,1.0,0.9652963946523377,0.09286571161754625,0.0044260041851845264,0.1940726751857829,0.16512984427404725,0.27396588446131176,0.366831596078858
H,coral_loto,IR,0.3838359582328603,1.0,0.9312714066818034,0.055828417437068456,0.006554294640162155,0.1519670579328235,0.13618944303852437,0.3838359582328603,0.32800754079579186
I,coral_loto,OR,0.32857541530260337,0.5333333333333333,0.9105329288485412,0.007980156924782156,0.014439740951456724,0.06249760238367954,0.3205952583778212,0.2883317239358962,0.32857541530260337
J,coral_loto,B,0.6856190706582549,1.0,0.6278413710503037,0.5219768832116127,0.056161251079909456,0.007618759744385245,0.6856190706582549,0.14311998215071772,0.1636421874466421
K,coral_loto,IR,0.498029495285152,1.0,0.8612525322934819,0.22778414057974283,0.015980917282390733,0.08903296251681353,0.1426921874926253,0.498029495285152,0.27024535470540917
L,coral_loto,OR,0.366171278048461,1.0,0.955710975284873,0.10156681850217392,0.0020269247956855724,0.2646044595462871,0.12654309716382045,0.2426811652414316,0.366171278048461
M,coral_loto,IR,0.4923832024700074,1.0,0.8675180749197272,0.21781581364035546,0.01270160747837025,0.10095488554112493,0.13209452315921574,0.4923832024700074,0.2745673888296519
N,coral_loto,B,0.5126648851492881,1.0,0.8039862763225882,0.2695665221219008,0.13004821666930647,0.026537046258993217,0.5126648851492881,0.21769970556433138,0.24309836302738727
O,coral_loto,OR,0.3727174723404555,1.0,0.966877662291388,0.11223248190095109,0.004740935814845096,0.18317744639064798,0.18362009082939204,0.2604849904395044,0.3727174723404555
P,coral_loto,OR,0.37246729504738824,1.0,0.9354564615360559,0.05151574915054524,0.0015449930412324401,0.320951545896843,0.11293268875366022,0.19364847030210847,0.37246729504738824
