file_id,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07,z_08,z_09,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,label,load
B007_0,-3.0886471,1.183217,-2.8786023,1.7332795,1.2646955,1.9368743,-2.5187888,-1.25457,1.0287173,1.0600635,-1.6842662,1.6817122,0.46109748,2.7965837,0.24977334,-2.2664733,-2.8570504,2.504258,0.83422613,1.7278432,0.13952109,-0.7849784,-0.790587,0.42848736,-2.2799554,2.4725068,-1.0309455,1.6064873,0.55091196,1.7094454,1.6424372,1.2127889,B,0
B007_1,-3.0299313,1.2108574,-2.8171828,1.712884,1.0175098,1.9826393,-2.29096,-1.7225722,0.8860625,1.1121435,-1.4218162,1.6989926,0.68292487,2.5257354,0.09753028,-2.1496894,-2.8475525,2.4638424,1.1019683,1.5555382,0.084028855,-1.0007756,-0.335139,0.47970462,-2.13996,2.6463478,-1.2089287,2.1407802,0.77600396,1.6468762,1.449247,1.379631,B,1
B007_2,-3.373015,1.1857849,-2.9302642,1.7500937,1.2889006,2.2828069,-2.5078979,-1.6429596,1.040892,1.2018661,-1.7725477,1.7802442,0.49851862,2.72973,0.4303145,-2.363165,-3.1006646,2.6845953,1.0113672,1.7889327,-0.3138158,-0.87485677,-0.64923745,0.5272771,-2.3543077,2.612432,-1.1187025,2.106171,0.3060535,1.7948269,1.6106157,1.6900198,B,2
B007_3,-2.9355538,1.0549885,-2.635093,1.7924185,1.1466967,1.8601242,-2.3573604,-1.2264553,1.1121467,1.0423617,-1.6428372,1.4617405,0.53620535,2.5943909,0.36411065,-2.1978216,-2.7083259,2.3462827,0.7336753,1.7068261,-0.019583613,-0.5713275,-0.89224446,0.3184914,-2.1090686,2.2893765,-0.9876665,1.6259774,0.33153057,1.5415676,1.5348473,1.3120002,B,3
B014_0,-3.5993793,1.4410532,-3.3537083,1.8102728,0.9035888,3.0601962,-1.9639463,-1.8434099,0.60342807,1.4079508,-1.685251,1.5467755,0.61109674,3.05098,0.7012431,-2.5424383,-3.2803454,3.1567378,1.5400554,2.2962248,-0.8456606,-1.2747042,-0.64017713,0.29527664,-2.5212517,2.4289584,-1.1207749,2.0704045,0.04234818,1.7635813,1.7577988,2.2833786,B,0
B014_1,-3.1814563,1.7901752,-2.9604347,1.8340328,0.3351119,3.1333058,-1.9853171,-2.089021,0.93524647,0.80080926,-1.2681139,1.5132209,0.7573028,2.9625485,0.47501782,-2.617881,-3.022539,2.7432747,1.6846324,1.5085802,-1.0567985,-1.2002261,-0.30809817,0.6701574,-2.1571577,2.4489722,-1.9137641,2.3103077,0.6230999,2.2883065,1.8232927,2.1014886,B,1
B014_2,-3.1973019,1.72102,-2.8861706,1.8732082,0.44046888,2.95746,-2.021994,-2.0207388,0.98200786,0.7434103,-1.3594376,1.5645196,0.7641978,2.889967,0.5195156,-2.6415615,-2.9503055,2.66721,1.599412,1.5286363,-0.9330062,-1.1209912,-0.38052255,0.69451505,-2.0949333,2.4802978,-1.8316549,2.2898889,0.5723902,2.1875653,1.8192604,2.0056703,B,2
B014_3,-3.4930902,1.7247742,-3.210958,1.996052,0.6287702,3.0985625,-2.1858141,-2.1333501,0.9902372,0.985724,-1.4853917,1.632025,0.7967757,3.1120336,0.5540429,-2.7880805,-3.2602234,2.8883107,1.6321096,1.8288625,-0.8477731,-1.2395664,-0.46412787,0.5605673,-2.3358057,2.6704333,-1.7338301,2.3326259,0.5461104,2.1823583,1.9035023,2.1379495,B,3
B021_0,-2.9589958,1.8174063,-2.6218467,2.0206523,0.96063745,2.9299767,-1.543298,-2.283274,1.0814757,0.6272395,-1.6888646,1.0532637,0.46207952,2.9714427,0.527461,-2.6404,-2.2840455,2.613439,2.0291474,1.8477839,-0.7344007,-1.0950416,-0.9260767,0.2878323,-2.2639997,2.1541963,-0.8660207,2.0365684,-0.07348673,1.4857981,2.1068766,2.0575354,B,0
B021_1,-2.9573536,1.7357866,-2.8499954,2.1880343,0.7442521,2.7548945,-1.6360375,-2.1722722,1.0442723,0.8155924,-1.4194562,1.0794369,0.8274814,2.9728863,0.37744442,-2.4936469,-2.6518426,2.6361756,1.7888936,1.766428,-0.2533657,-1.0714755,-0.621508,0.17451878,-2.2611432,2.6495688,-1.1323426,2.2282434,0.52737755,1.5496418,1.8953142,1.963806,B,1
B021_2,-3.1140616,1.7161362,-3.0818427,2.1370845,0.84889495,2.840853,-1.7084587,-2.0526407,0.94207126,0.9042365,-1.5101566,1.3210194,0.65370303,2.930245,0.5671089,-2.4787118,-2.8542693,2.7802129,1.5325191,1.8564175,-0.27366623,-1.153953,-0.63050145,0.23210296,-2.4112124,2.4685395,-1.2131122,1.9122746,0.38934466,1.6629426,1.884755,1.8414853,B,2
B021_3,-3.1341934,1.5621535,-3.225504,2.183316,1.0883387,2.8500855,-1.7597837,-1.9747248,0.79982746,1.0874374,-1.5917447,1.2556541,0.55511767,2.7863526,0.6004156,-2.2808306,-2.794012,2.7988605,1.2915037,2.0384662,-0.0030451396,-1.1862545,-0.8539193,-0.0035589486,-2.4612927,2.4256535,-1.0418173,1.7208906,0.16279638,1.5915467,1.7137926,1.8053131,B,3
IR007_0,-1.0019664,-2.4539506,-1.9361231,-0.23025979,1.7234844,0.69272536,1.6531744,2.12411,-2.0261462,1.6853211,-0.72102576,-2.259367,-2.272445,-0.7541567,1.2953936,2.964455,1.7058667,1.6337813,-1.9864416,2.8509526,2.2947078,-0.46166936,-2.2121198,-3.197304,-0.5785848,0.44638723,3.5300221,-2.1895738,-2.303644,-2.726446,-1.9352877,-1.144208,IR,0
IR007_1,-1.0161929,-2.5260277,-2.2173145,-0.34686822,1.9191324,0.9027376,1.6048113,2.440134,-2.008817,1.687873,-0.9599875,-2.2777307,-2.5029583,-0.69486755,1.42897,2.9908292,1.8934462,1.757245,-2.2063112,3.0115733,2.3855927,-0.5069842,-2.5399072,-3.1095834,-0.74941295,0.33195683,3.4333625,-2.3647487,-2.5356033,-2.6417139,-1.7850431,-0.9405901,IR,1
IR007_2,-1.0482105,-2.5056565,-2.1629658,-0.3209367,1.8747234,0.9371943,1.5727186,2.3655624,-1.9965225,1.6845514,-0.97400063,-2.18331,-2.417349,-0.6955351,1.3987087,2.9255142,1.7942822,1.7181902,-2.135571,2.942384,2.3924298,-0.45168498,-2.4867005,-3.1151855,-0.76970273,0.42023847,3.386664,-2.2775843,-2.4352028,-2.6172442,-1.7871321,-0.94726074,IR,2
