file_id,z_00,z_01,z_02,z_03,z_04,z_05,z_06,z_07,z_08,z_09,z_10,z_11,z_12,z_13,z_14,z_15,z_16,z_17,z_18,z_19,z_20,z_21,z_22,z_23,z_24,z_25,z_26,z_27,z_28,z_29,z_30,z_31,rpm
A,0.702862,0.30493116,1.4752405,0.47487924,-1.686702,-1.5083581,1.56922,-1.9005306,-0.030069249,-0.026268916,1.6499912,0.4155316,1.9976622,-1.9999921,-1.9965686,0.33407184,-0.35446495,-0.09720834,1.1352347,-1.2721218,1.3892072,0.7654894,2.7815127,0.59135956,1.0711656,1.3607571,-0.19028872,2.4458692,2.4288754,-0.1238642,-2.0552015,-2.1076796,600.0
B,-0.95840716,0.40403032,-0.420522,0.36386546,0.65208966,-0.49779573,-1.4592651,-0.55092746,1.3820207,0.03061661,-0.57282436,0.5833389,0.44051826,1.4383317,0.0625648,-1.6896001,-0.6701315,0.95381945,0.41208193,-0.14095359,-1.0637366,0.4342051,0.21104936,1.1329706,0.17387128,1.0697372,-0.96910805,1.3344283,0.34485683,1.5057417,0.3831531,-0.5779927,600.0
C,1.7812003,0.65998614,1.4014872,0.5735323,-2.2789445,-1.4651281,2.172907,-2.6928046,0.05010617,-0.28811,1.9692508,0.6605884,2.8849437,-2.7485573,-2.737231,0.19977413,-0.12907317,-0.7784128,1.0223522,-1.8247434,2.335801,0.49308872,3.6964972,1.0195155,0.9414835,1.3800555,-0.93817765,3.270747,3.587414,-0.10858453,-2.3103259,-1.9486204,600.0
D,1.5099642,0.43391478,1.7390723,0.4745842,-2.2253146,-1.7016773,2.3965147,-2.6293285,-0.18648644,-0.23820822,2.0328355,0.64570117,2.7838671,-2.7611825,-2.6290247,0.40526187,-0.1884685,-0.5015289,1.1409909,-1.7478678,2.2074418,0.65321505,3.5599291,0.8142544,1.0576844,1.4323488,-0.45294768,3.2304075,3.3257394,-0.24138479,-2.5100396,-2.082596,600.0
E,1.7011218,0.7320649,1.3259624,0.6484577,-2.2468982,-1.4227616,2.0696406,-2.7144117,0.099152714,-0.26452032,1.9477488,0.65780663,2.8935883,-2.6812778,-2.6941552,0.15138076,-0.2074943,-0.6920909,1.0607442,-1.7909431,2.3401988,0.4594159,3.659402,1.0136873,0.8772446,1.4376485,-0.9945808,3.30404,3.6011965,-0.058986444,-2.248517,-1.8786258,600.0
F,1.2857945,0.4685606,1.6624044,0.5300798,-2.059691,-1.6336455,2.169584,-2.48479,-0.122271605,-0.19174837,1.9138507,0.6230343,2.6514044,-2.5375662,-2.4377353,0.35128424,-0.27390763,-0.31872776,1.196657,-1.6217569,2.015721,0.67521393,3.3435361,0.7976414,1.0292821,1.4434677,-0.45587957,3.085598,3.1281815,-0.17780259,-2.349599,-2.0403388,600.0
G,-0.69569504,0.2830652,-0.27283442,0.14583129,0.72829616,-0.6604776,-1.3693827,-0.22024205,1.3851708,-0.10593756,-0.57747203,0.41775146,0.24679127,1.4286734,0.13946924,-1.5943419,-0.38872597,0.73102874,0.22678134,-0.22400333,-1.246621,0.56660444,0.10995709,1.1277578,0.45006284,0.78729755,-0.95391077,1.0783974,0.12959048,1.4513618,0.36895853,-0.8247135,600.0
H,1.5821488,0.49222454,1.6079541,0.4882664,-2.2810104,-1.6184103,2.3213022,-2.621752,-0.13418515,-0.23799518,2.0341249,0.6447879,2.7967615,-2.7955332,-2.7074432,0.3524731,-0.17756769,-0.58916396,1.1216094,-1.777197,2.2834024,0.6164753,3.6467032,0.866613,1.0565803,1.4282053,-0.54147404,3.2252414,3.4171803,-0.25499734,-2.5261242,-2.085604,600.0
I,1.7849274,0.6346042,1.4413506,0.5570523,-2.2937539,-1.4876728,2.2146132,-2.7012856,0.036634125,-0.29412445,1.9771124,0.670722,2.8912194,-2.7693055,-2.752668,0.21572895,-0.123871826,-0.78070146,1.0262113,-1.8349025,2.3333924,0.5121418,3.7092218,1.0151929,0.9585795,1.381686,-0.8988436,3.2854168,3.5825658,-0.115959056,-2.3396444,-1.9634482,600.0
J,1.7429373,0.7427526,1.2972678,0.6203238,-2.2311983,-1.3889544,2.0420892,-2.6959898,0.11452355,-0.28797227,1.9226997,0.6659687,2.8652694,-2.6571877,-2.692102,0.13351342,-0.15413521,-0.76086867,1.0255675,-1.7978517,2.302667,0.44433036,3.638288,1.0624722,0.87488323,1.3867751,-1.0594695,3.2623546,3.5878215,-0.0405557,-2.1954062,-1.8696449,600.0
