file_id,prob_N,prob_B,prob_IR,prob_OR,candidate_label,confidence,margin,entropy,rpm,pot_convergence_warning_count
A,0.09333145944051255,0.2364286345923975,0.3936236799905123,0.27661622597657765,IR,0.3936236799905123,0.11700745401393464,1.284785699960704,570,0
B,0.8618998511232696,0.05187342715881556,0.06354711366146062,0.022679608056454272,N,0.8618998511232696,0.798352737461809,0.5425888102365841,570,0
C,0.0324323030530205,0.3562466283415,0.28065490579412844,0.330666162811351,B,0.3562466283415,0.025580465530148977,1.2014297265187537,570,0
D,0.03236298344636621,0.2934780048716219,0.33238489057298376,0.3417741211090281,OR,0.3417741211090281,0.009389230536044346,1.2038587995183714,570,0
E,0.034727790733615836,0.3673090700342296,0.27516479753417666,0.3227983416979779,B,0.3673090700342296,0.04451072833625169,1.2046373524299006,570,0
F,0.043557999009464436,0.2886276399361308,0.3439272286677823,0.32388713238662253,IR,0.3439272286677823,0.02004009628115977,1.2273695546693268,570,0
G,0.8693435217499619,0.04460165359658292,0.06413400103260301,0.02192082362085205,N,0.8693435217499619,0.8052095207173589,0.5203398044021454,570,0
H,0.03135388341271203,0.30807153744768834,0.3191598499705946,0.34141472916900506,OR,0.34141472916900506,0.02225487919841046,1.20269537801835,570,0
I,0.03155258960094902,0.3516772191223127,0.283307102982719,0.3334630882940193,B,0.3516772191223127,0.018214130828293373,1.2000967141201504,570,0
J,0.03593410264741202,0.372180497397761,0.27126035382095876,0.32062504613386816,B,0.372180497397761,0.051555451263892826,1.2059861247919395,570,0
K,0.029755631558734463,0.2877985927415139,0.33391176907088876,0.3485340066288628,OR,0.3485340066288628,0.014622237557974038,1.196657009153571,570,0
L,0.8588718200757036,0.050309458510288875,0.06738241055884758,0.023436310855159966,N,0.8588718200757036,0.7914894095168561,0.5507910613909514,570,0
M,0.029416503721984254,0.27162763547528895,0.3473415931794893,0.3516142676232375,OR,0.3516142676232375,0.004272674443748181,1.192556667703155,570,0
N,0.05548251080805517,0.4105276084915543,0.2521655317051486,0.281824348995242,B,0.4105276084915543,0.12870325949631228,1.2302589891493634,570,0
O,0.9325004356105093,0.022047649885050393,0.03509533114205134,0.010356583362388866,N,0.9325004356105093,0.897405104468458,0.3141595981311344,570,0
P,0.031656054510502005,0.2911514080363226,0.33359629546695624,0.3435962419862192,OR,0.3435962419862192,0.009999946519262948,1.2018476893149248,570,0
A,0.09390750668535046,0.23535416864349268,0.39452327936557163,0.2762150453055852,IR,0.39452327936557163,0.11830823405998642,1.2849200015279487,600,0
B,0.8614229496228909,0.052011951413277156,0.06382139840141496,0.02274370056241717,N,0.8614229496228909,0.7976015512214759,0.5439254170613241,600,0
C,0.032483380360870576,0.35651046748561616,0.2802947258291345,0.33071142632437867,B,0.35651046748561616,0.02579904116123749,1.2014692302397554,600,0
D,0.032470135432151624,0.29327546957687983,0.33243504332467916,0.3418193516662894,OR,0.3418193516662894,0.009384308341610248,1.2040816586792578,600,0
E,0.034762078827042624,0.3677084045636997,0.27473350156296594,0.32279601504629163,B,0.3677084045636997,0.04491238951740806,1.2045927811311916,600,0
F,0.04371209791341537,0.2883622487977718,0.3440757840755971,0.3238498692132158,IR,0.3440757840755971,0.02022591486238129,1.2276387881412425,600,0
G,0.868309908438685,0.04477133497563261,0.0647922539164252,0.022126502669257146,N,0.868309908438685,0.8035176545222599,0.5233113576177877,600,0
H,0.031355705347417606,0.3077532793630229,0.31916666554709083,0.3417243497424686,OR,0.3417243497424686,0.022557684195377792,1.2026671767576647,600,0
I,0.03162123254906839,0.3519219176048623,0.2829751945486429,0.3334816552974264,B,0.3519219176048623,0.018440262307435895,1.2001910962146365,600,0
J,0.036002214296546174,0.37259944094432124,0.27083438630424816,0.32056395845488433,B,0.37259944094432124,0.0520354824894369,1.2060008661526938,600,0
K,0.02974370929456899,0.28745834197739967,0.3338492008058646,0.34894874792216674,OR,0.34894874792216674,0.015099547116302126,1.1965593846089317,600,0
L,0.8602885644499142,0.049782112297408705,0.06681087894176155,0.023118444310915566,N,0.8602885644499142,0.7934776855081527,0.5466867917116743,600,0
M,0.029408404571390632,0.271277816795782,0.34724413566772083,0.3520696429651065,OR,0.3520696429651065,0.004825507297385678,1.1924445583560956,600,0
N,0.055518571643505564,0.4116738104281191,0.2513673306910754,0.28144028723729997,B,0.4116738104281191,0.13023352319081916,1.2297945460634088,600,0
O,0.9325982848526608,0.021964986664250948,0.03509831638328529,0.010338412099802873,N,0.9325982848526608,0.8974999684693755,0.31377789163173764,600,0
P,0.03176596667843023,0.29090967957289743,0.3336768114641154,0.343647542284557,OR,0.343647542284557,0.009970730820441642,1.2020718166294058,600,0
A,0.09390750668535046,0.23535416864349268,0.39452327936557163,0.2762150453055852,IR,0.39452327936557163,0.11830823405998642,1.2849200015279487,630,0
B,0.8614229496228909,0.052011951413277156,0.06382139840141496,0.02274370056241717,N,0.8614229496228909,0.7976015512214759,0.5439254170613241,630,0
C,0.032483380360870576,0.35651046748561616,0.2802947258291345,0.33071142632437867,B,0.35651046748561616,0.02579904116123749,1.2014692302397554,630,0
D,0.032470135432151624,0.29327546957687983,0.33243504332467916,0.3418193516662894,OR,0.3418193516662894,0.009384308341610248,1.2040816586792578,630,0
E,0.034762078827042624,0.3677084045636997,0.27473350156296594,0.32279601504629163,B,0.3677084045636997,0.04491238951740806,1.2045927811311916,630,0
F,0.04371209791341537,0.2883622487977718,0.3440757840755971,0.3238498692132158,IR,0.3440757840755971,0.02022591486238129,1.2276387881412425,630,0
G,0.868309908438685,0.04477133497563261,0.0647922539164252,0.022126502669257146,N,0.868309908438685,0.8035176545222599,0.5233113576177877,630,0
H,0.031355705347417606,0.3077532793630229,0.31916666554709083,0.3417243497424686,OR,0.3417243497424686,0.022557684195377792,1.2026671767576647,630,0
I,0.03162123254906839,0.3519219176048623,0.2829751945486429,0.3334816552974264,B,0.3519219176048623,0.018440262307435895,1.2001910962146365,630,0
J,0.036002214296546174,0.37259944094432124,0.27083438630424816,0.32056395845488433,B,0.37259944094432124,0.0520354824894369,1.2060008661526938,630,0
K,0.02974370929456899,0.28745834197739967,0.3338492008058646,0.34894874792216674,OR,0.34894874792216674,0.015099547116302126,1.1965593846089317,630,0
L,0.8602885644499142,0.049782112297408705,0.06681087894176155,0.023118444310915566,N,0.8602885644499142,0.7934776855081527,0.5466867917116743,630,0
M,0.029408404571390632,0.271277816795782,0.34724413566772083,0.3520696429651065,OR,0.3520696429651065,0.004825507297385678,1.1924445583560956,630,0
N,0.055518571643505564,0.4116738104281191,0.2513673306910754,0.28144028723729997,B,0.4116738104281191,0.13023352319081916,1.2297945460634088,630,0
O,0.9325982848526608,0.021964986664250948,0.03509831638328529,0.010338412099802873,N,0.9325982848526608,0.8974999684693755,0.31377789163173764,630,0
