file_id,prob_N,prob_B,prob_IR,prob_OR,candidate_label,confidence,margin,entropy,fraction,pot_convergence_warning_count
A,0.09390621418166226,0.23535473414591981,0.3945216954777759,0.276217356194642,IR,0.3945216954777759,0.11830433928313389,1.2849192622466745,1.0,0
B,0.8614180634912133,0.0520137765100431,0.06382304615951846,0.02274511383922507,N,0.8614180634912133,0.7975950173316948,0.5439399647553517,1.0,0
C,0.032483144499624694,0.3565106586235294,0.28029428322002736,0.33071191365681846,B,0.3565106586235294,0.025798744966710918,1.2014685953506303,1.0,0
D,0.03246990500034967,0.2932758816164861,0.3324342250484279,0.3418199883347363,OR,0.3418199883347363,0.009385763286308413,1.2040811565819625,1.0,0
E,0.03476180962533346,0.36770857982352195,0.27473309076480046,0.3227965197863441,B,0.36770857982352195,0.04491206003717785,1.2045920921556243,1.0,0
F,0.043711698509626584,0.2883626522451718,0.34407475784376074,0.3238508914014408,IR,0.34407475784376074,0.020223866442319938,1.2276380972641419,1.0,0
G,0.8683052235962618,0.04477293635955721,0.06479392384931681,0.02212791619486407,N,0.8683052235962618,0.803511299746945,0.5233256269810465,1.0,0
H,0.031355489098242116,0.30775364843336733,0.319165967187497,0.3417248952808935,OR,0.3417248952808935,0.02255892809339649,1.2026666511731605,1.0,0
I,0.03162100951963046,0.3519221329099644,0.28297473934141154,0.3334821182289936,B,0.3519221329099644,0.018440014680970784,1.2001904844633906,1.0,0
J,0.03600192564784729,0.37259956338331973,0.2708339770172952,0.32056453395153767,B,0.37259956338331973,0.052035029431782065,1.2060001476071165,1.0,0
K,0.02974351556302948,0.2874587412577042,0.33384839774350106,0.3489493454357653,OR,0.3489493454357653,0.015100947692264222,1.1965589494552795,1.0,0
L,0.8602836658708195,0.049783858921698065,0.0668125895814953,0.02311988562598722,N,0.8602836658708195,0.7934710762893242,0.5467013528877414,1.0,0
M,0.02940821523196719,0.2712782313106317,0.34724322543452174,0.35207032802287935,OR,0.35207032802287935,0.004827102588357612,1.1924441838049937,1.0,0
N,0.05551796091317158,0.4116738529298226,0.2513669743814653,0.28144121177554055,B,0.4116738529298226,0.13023264115428207,1.2297934982905212,1.0,0
O,0.9325954610290308,0.021965923273074325,0.03509942264635047,0.01033919305154429,N,0.9325954610290308,0.8974960383826803,0.3137885467365758,1.0,0
P,0.03176574612947219,0.29091009500910675,0.3336759906208879,0.34364816824053307,OR,0.34364816824053307,0.009972177619645195,1.2020713364955307,1.0,0
A,0.09472098125926877,0.23468166319990422,0.39503535038326903,0.2755620051575579,IR,0.39503535038326903,0.11947334522571113,1.2855018418906394,0.75,0
B,0.8643072400033155,0.05112821459642777,0.06247462827561082,0.02208991712464585,N,0.8643072400033155,0.8018326117277047,0.5355274869708149,0.75,0
C,0.03240378163344972,0.35654062721521257,0.2803536314022695,0.3307019597490683,B,0.35654062721521257,0.02583866746614427,1.2012918925138563,0.75,0
D,0.03235901119530885,0.29340036924069657,0.33227035667458976,0.34197026288940485,OR,0.34197026288940485,0.00969990621481509,1.2038343317761178,0.75,0
E,0.034681429481429084,0.36780110919238035,0.2747853103946087,0.3227321509315819,B,0.36780110919238035,0.04506895826079843,1.2044092140452882,0.75,0
F,0.04357406487939032,0.2880342661516651,0.3443689496652799,0.32402271930366466,IR,0.3443689496652799,0.02034623036161526,1.227305952808441,0.75,0
G,0.8684971720724196,0.04456831340385896,0.06490589362528375,0.02202862089843763,N,0.8684971720724196,0.8035912784471358,0.5226443373881349,0.75,0
H,0.031237283795939777,0.3073758430386722,0.3194169409013584,0.3419699322640295,OR,0.3419699322640295,0.022552991362671082,1.2023612440036597,0.75,0
I,0.03161047697206894,0.3523084968221083,0.28281653345938595,0.33326449274643677,B,0.3523084968221083,0.019044004075671528,1.2001185664267675,0.75,0
J,0.03590002399955501,0.3725265778175871,0.27100046965361635,0.3205729285292416,B,0.3725265778175871,0.051953649288345505,1.2058161812090096,0.75,0
K,0.029647306201087388,0.2873230974580715,0.33384707704380256,0.34918251929703864,OR,0.34918251929703864,0.015335442253236076,1.1962954333428628,0.75,0
L,0.8612875868085682,0.04912300678968608,0.06670592072486621,0.022883485676879693,N,0.8612875868085682,0.794581666083702,0.5436843831398692,0.75,0
M,0.02924721356984161,0.27233645445105453,0.34608104617371693,0.3523352858053868,OR,0.3523352858053868,0.006254239631669878,1.1922997579795844,0.75,0
N,0.055371437689407596,0.41211162095132836,0.2513300094276711,0.2811869319315929,B,0.41211162095132836,0.13092468901973547,1.2293844514787642,0.75,0
O,0.9312042516603143,0.022351720957009723,0.035898345193516285,0.010545682189159739,N,0.9312042516603143,0.895305906466798,0.3187691381501056,0.75,0
P,0.03168519946973421,0.29078565181897004,0.3337321550081098,0.3437969937031859,OR,0.3437969937031859,0.010064838695076073,1.2018602917926917,0.75,0
A,0.09293575403474916,0.26380130726417367,0.3847010041171955,0.2585619345838817,IR,0.3847010041171955,0.12089969685302182,1.2895685786699889,0.5,0
B,0.8640358080735435,0.0607323821854756,0.0524032213215728,0.022828588419408186,N,0.8640358080735435,0.8033034258880679,0.5372115308864596,0.5,0
C,0.03211445142094471,0.3392511369734702,0.28579913094584614,0.342835280659739,OR,0.342835280659739,0.0035841436862688036,1.2021200032740287,0.5,0
D,0.032334862604857774,0.29703105003833913,0.3392063116489066,0.3314277757078965,IR,0.3392063116489066,0.0077785359410100785,1.2042746665873425,0.5,0
E,0.03427317590927765,0.34943185934698234,0.2790107571581679,0.33728420758557215,B,0.34943185934698234,0.012147651761410194,1.2057548322047436,0.5,0
F,0.043560268887013226,0.298896427477417,0.34513143241014993,0.31241187122541975,IR,0.34513143241014993,0.032719561184730184,1.2280969951489906,0.5,0
G,0.8756107245412849,0.050963998396014884,0.052192923028274975,0.021232354034425274,N,0.8756107245412849,0.8234178015130099,0.5039194369170505,0.5,0
H,0.031057988085341243,0.3062476100098568,0.325609291474382,0.33708511043041994,OR,0.33708511043041994,0.011475818956037942,1.202137034338654,0.5,0
I,0.031322764309952754,0.3359083077572134,0.28871013601023465,0.3440587919225992,OR,0.3440587919225992,0.008150484165385774,1.2006965714287012,0.5,0
J,0.03591155099534591,0.353304119364086,0.2739874653218342,0.33679686431873385,B,0.353304119364086,0.016507255045352165,1.2083055006021384,0.5,0
K,0.02948870785144411,0.2907175340528098,0.34099792003956797,0.33879583805617813,IR,0.34099792003956797,0.0022020819833898364,1.196634848776628,0.5,0
L,0.8584963976622728,0.06096373784913226,0.056609271179273495,0.02393059330932143,N,0.8584963976622728,0.7975326598131406,0.553409258930749,0.5,0
M,0.02919209326431399,0.27747941354098754,0.35644485344431726,0.33688363975038127,IR,0.35644485344431726,0.019561213693935986,1.1931268937727924,0.5,0
N,0.05493204429977437,0.39238857372101493,0.2478037087994032,0.3048756731798076,B,0.39238857372101493,0.0875129005412073,1.234337025534917,0.5,0
O,0.931139235031903,0.027968774819351137,0.02994347527294098,0.010948514875804881,N,0.931139235031903,0.901195759758962,0.3209511039121495,0.5,0
P,0.03154618265370609,0.2949718946201733,0.3406509558944725,0.33283096683164815,IR,0.3406509558944725,0.007819989062824328,1.2021571684181545,0.5,0
