file_id,majority_label,agreement_ratio,mean_confidence,mean_margin
A,N,0.8,0.47949519827751813,0.21805574032612518
B,IR,1.0,0.668066380134176,0.45635382167865196
C,IR,0.8,0.4716758130250141,0.18344944713438788
D,N,0.8,0.5518317834745287,0.25527434294389484
E,IR,0.8,0.5870231360129792,0.2578263950800927
F,N,0.6,0.5586927598040535,0.2791891450083539
G,IR,0.8,0.5290116313752932,0.2749668510956789
H,OR,0.8,0.6937318273610291,0.5013324476136641
I,IR,0.6,0.4687117331665883,0.14864485791686755
J,B,1.0,0.5403430361031879,0.26777713614661913
K,OR,0.8,0.710418706094216,0.5240174545791553
L,IR,0.8,0.5841603916447042,0.341373992167198
M,OR,1.0,0.670285529737771,0.46204659804123904
N,OR,0.6,0.44426029590581917,0.16711271083706297
O,IR,0.8,0.4703837301025159,0.1872298866404211
P,N,1.0,0.5331490047969832,0.2377920254482894
