file_id,method,predicted_label,confidence,window_vote_ratio,normalized_entropy,probability_margin,window_probability_std,prob_N,prob_B,prob_IR,prob_OR
A,coral_loto,N,0.404161965205438,1.0,0.8973536320792382,0.12552738016051013,0.021114042558491326,0.404161965205438,0.25458784391433614,0.06261560583529795,0.2786345850449279
B,coral_loto,IR,0.6763922068742827,1.0,0.6528443816762225,0.486493398489924,0.04262657477410738,0.1898988083843587,0.11391054139684008,0.6763922068742827,0.01979844334451864
C,coral_loto,IR,0.5550162823222408,0.7368421052631579,0.8105125329590809,0.3518909473980234,0.30679880747784577,0.18676793450466703,0.2031253349242174,0.5550162823222408,0.0550904482488748
D,coral_loto,OR,0.4470759649373946,0.9473684210526315,0.8039605236207712,0.09036591689398765,0.03016683942291099,0.35671004804340695,0.1749285837585308,0.02128540326066763,0.4470759649373946
E,coral_loto,IR,0.5831903960586007,0.7368421052631579,0.6450280493750215,0.2396959164490179,0.3122118934765915,0.0671786150372951,0.3434944796095828,0.5831903960586007,0.00613650929452143
F,coral_loto,OR,0.4959453950867624,1.0,0.7913289487272532,0.20648435452757485,0.021908213318318694,0.28946104055918753,0.1973132790627891,0.017280285291261,0.4959453950867624
G,coral_loto,IR,0.43931544666460237,0.631578947368421,0.8490647309721306,0.08888812161379578,0.09606185016221715,0.3504273250508066,0.1557125717265789,0.43931544666460237,0.05454465655801219
H,coral_loto,OR,0.6546369215521202,1.0,0.6680743424695295,0.4870020482428189,0.04738719835104432,0.16631294817196599,0.16763487330930124,0.01141525696661274,0.6546369215521202
I,coral_loto,IR,0.5302397941265728,0.631578947368421,0.7698782554672654,0.29454576478439765,0.24257304114620545,0.23569402934217523,0.22101675239299148,0.5302397941265728,0.013049424138260384
J,coral_loto,B,0.5195792118735675,0.6842105263157895,0.8419514456290758,0.2588116380619777,0.27359344019772386,0.14049806491574965,0.5195792118735675,0.26076757381158977,0.0791551493990932
K,coral_loto,OR,0.7272376357449413,1.0,0.5808524705704563,0.577911991476688,0.03387907566401144,0.11475625066954374,0.1493256442682532,0.00868046931726196,0.7272376357449413
L,coral_loto,IR,0.5513254556150706,1.0,0.7726478463185321,0.2777045289298341,0.03248016887349254,0.2736209266852365,0.14311483742402786,0.5513254556150706,0.031938780275664984
M,coral_loto,OR,0.7435245047777146,1.0,0.562125194472768,0.6162928538030252,0.030559268428654886,0.12723165097468933,0.12043349450085708,0.008810349746738975,0.7435245047777146
N,coral_loto,OR,0.30994073369433384,0.47368421052631576,0.946935558483847,0.005353645443364474,0.16234986993968806,0.2859921139717578,0.30458708825096936,0.09948006408293902,0.30994073369433384
O,coral_loto,N,0.3828318620453562,0.6842105263157895,0.9035308472461949,0.025929502670093862,0.0643296787436554,0.3828318620453562,0.1716315592466159,0.3569023593752623,0.08863421933276544
P,coral_loto,OR,0.40646240541013073,0.631578947368421,0.8271374581432396,0.02299399595708035,0.020387248764867874,0.3834684094530504,0.18047529292190778,0.029593892214911214,0.40646240541013073
