file_id,majority_label,agreement_ratio,mean_confidence,mean_margin
A,N,1.0,0.43356624953481127,0.14693025277441385
B,IR,1.0,0.6014639520373424,0.40521704542131387
C,IR,1.0,0.48667781032488255,0.19052458033063074
D,N,0.6,0.4756133454034822,0.14851381823832016
E,B,0.6,0.5655191407847964,0.24879437510018412
F,OR,0.6,0.47461580573699413,0.16420707043406718
G,IR,1.0,0.4593199825191892,0.15798203966519037
H,OR,1.0,0.5984567068774396,0.3743417540641056
I,IR,0.8,0.4708352712523439,0.16183267243604785
J,B,1.0,0.46698137456950467,0.22061818033815572
K,OR,1.0,0.6587510391481783,0.47654587893883804
L,IR,1.0,0.4959680861288172,0.23012735270531381
M,OR,1.0,0.6434383515335276,0.46286560996118825
N,OR,1.0,0.37760895787875315,0.10374418346009158
O,IR,0.8,0.4313178906718148,0.10582605227242436
P,N,0.8,0.4845906674317463,0.18378724423973244
