file_id,method,predicted_label,confidence,window_vote_ratio,normalized_entropy,probability_margin,window_probability_std,prob_N,prob_B,prob_IR,prob_OR
A,class_regularized_ot_loto,N,0.3638028080899489,1.0,0.9106761797867744,0.07486836962232984,0.018185721555199617,0.3638028080899489,0.2814601518381824,0.06580260160424949,0.28893443846761907
B,class_regularized_ot_loto,IR,0.6970136312319414,1.0,0.6312613167227302,0.5340689815298583,0.03938580933864204,0.16294464970208308,0.12262409080746975,0.6970136312319414,0.017417628258505596
C,class_regularized_ot_loto,IR,0.5751707270148205,0.7368421052631579,0.7969363312550112,0.3702147077845892,0.3127314078714735,0.1599660676951554,0.20495601923023132,0.5751707270148205,0.05990718605979272
D,class_regularized_ot_loto,OR,0.47843906157531874,1.0,0.811078261484265,0.19015682065175993,0.028040809681374027,0.2882822409235588,0.2109732102645289,0.02230548723659351,0.47843906157531874
E,class_regularized_ot_loto,IR,0.6135543601698548,0.7368421052631579,0.6483533933480949,0.309401944144226,0.3088772196010124,0.07171887521392013,0.30415241602562876,0.6135543601698548,0.010574348590596128
F,class_regularized_ot_loto,OR,0.53284999101359,1.0,0.7734817241795695,0.27722993590061895,0.02185198168731556,0.25562005511297103,0.19436195331725684,0.017168000556182103,0.53284999101359
G,class_regularized_ot_loto,IR,0.4746901293234984,0.8421052631578947,0.8429478262593495,0.17501336257458627,0.09178188225829853,0.29967676674891214,0.17682491063935488,0.4746901293234984,0.04880819328823459
H,class_regularized_ot_loto,OR,0.6870729261584994,1.0,0.632467122670211,0.5325136478157617,0.04409388429255081,0.14792617972756686,0.1545592783427376,0.010441615771196233,0.6870729261584994
I,class_regularized_ot_loto,IR,0.5741371937510147,0.7894736842105263,0.7411748346565827,0.34292819339506164,0.2499895752176739,0.18009252780382043,0.23120900035595304,0.5741371937510147,0.01456127808921188
J,class_regularized_ot_loto,B,0.4605697562729243,0.6842105263157895,0.8858157688124861,0.16720375256069692,0.23490225096988696,0.14628099037125056,0.4605697562729243,0.2933660037122274,0.09978324964359779
K,class_regularized_ot_loto,OR,0.7497908875433107,1.0,0.5508800635359571,0.614909897887387,0.03088832220283182,0.10756255190266845,0.1348809896559237,0.007765570898097103,0.7497908875433107
L,class_regularized_ot_loto,IR,0.5789498897293365,1.0,0.7560769281977883,0.34153231341211476,0.031568683456452494,0.23741757631722168,0.15522045497547,0.5789498897293365,0.028412078977971815
M,class_regularized_ot_loto,OR,0.7591382165015793,1.0,0.5401898201915833,0.6377294108958189,0.027970083790794437,0.12140880560576044,0.11126517822526841,0.008187799667391797,0.7591382165015793
N,class_regularized_ot_loto,OR,0.3140250285840383,0.47368421052631576,0.9506019767160507,0.014101548252600404,0.15786861508444328,0.28151290543639135,0.2999234803314379,0.10453858564813245,0.3140250285840383
O,class_regularized_ot_loto,IR,0.38997694910609954,0.5263157894736842,0.9045354559712491,0.0520229253754213,0.0929703643507583,0.33795402373067823,0.19074660014431313,0.38997694910609954,0.08132242701890893
P,class_regularized_ot_loto,OR,0.4318821458887598,1.0,0.8405908415842532,0.10661115800574,0.020053307434394783,0.3252709878830198,0.2113575152341764,0.03148935099404412,0.4318821458887598
