file_id,prediction_570,prediction_600,prediction_630,agreement_ratio,confidence_variation,margin_variation
A,OR,N,N,0.6666666666666666,0.060878830626007685,0.07292671760052982
B,IR,IR,IR,1.0,0.10167330916347739,0.21664239277941033
C,IR,IR,IR,1.0,0.09422973692388448,0.14620453905967606
D,OR,OR,N,0.6666666666666666,0.010889633249193342,0.0897765137322512
E,IR,IR,B,0.6666666666666666,0.18970635225614163,0.3857004294229268
F,OR,OR,OR,1.0,0.06829442982921125,0.18115262735296056
G,IR,IR,IR,1.0,0.06728596966650657,0.1566395754265837
H,OR,OR,OR,1.0,0.05182563706046106,0.08132981359059788
I,IR,IR,IR,1.0,0.03965616992269699,0.054945955907699684
J,B,B,B,1.0,0.050116599279985685,0.10632960214598386
K,OR,OR,OR,1.0,0.09762578811009937,0.17116631771608776
L,IR,IR,IR,1.0,0.288416173158322,0.4945561681917842
M,OR,OR,OR,1.0,0.05613699098774583,0.10319891110519508
N,N,OR,OR,0.6666666666666666,0.058109603028729584,0.08161185758641909
O,N,IR,IR,0.6666666666666666,0.012180403608491597,0.038242965364440384
P,OR,OR,N,0.6666666666666666,0.07838432953472524,0.0423889889193505
