file_id,majority_label,agreement_ratio,mean_confidence,mean_margin
A,N,0.6,0.7174466729164124,0.45055112838745115
B,IR,0.8,0.8607691526412964,0.7641805052757263
C,IR,0.8,0.5663680493831634,0.20159900784492493
D,OR,0.6,0.7641634821891785,0.5300258874893189
E,IR,1.0,0.7253530979156494,0.5482566714286804
F,OR,0.6,0.8382951617240906,0.6779077708721161
G,IR,0.6,0.7349937558174133,0.5469379842281341
H,OR,1.0,0.9612815976142883,0.9227190136909484
I,IR,0.8,0.5843144357204437,0.3599096894264221
J,IR,0.8,0.40590381622314453,0.08208604454994202
K,OR,1.0,0.9684717535972596,0.9370807051658631
L,IR,0.6,0.8170374214649201,0.7022294640541077
M,OR,1.0,0.9710868954658508,0.9423642516136169
N,OR,1.0,0.7095728516578674,0.5291103303432465
O,IR,0.4,0.6277327537536621,0.34231563210487365
P,N,0.6,0.7474208116531372,0.4986684501171112
