file_id,distance_to_N,distance_to_B,distance_to_IR,distance_to_OR,nearest_source_class,nearest_source_file,before_coral_nearest_class,after_coral_nearest_class,coral_predicted_label,probability_margin,normalized_entropy
A,1.1133502499300378,1.9177804138620245,4.381657970859005,2.249010844591785,N,OR014@6_2,OR,N,N,0.1243247816610401,0.903468280923974
B,2.761809351136343,3.3759719390345366,1.0386882442111478,5.292631588922344,IR,IR007_3,IR,IR,IR,0.43393794995995827,0.6943178599899502
C,2.7716135118650445,3.1851824685930263,1.1174525232504666,5.42403702579225,IR,IR007_3,IR,IR,IR,0.31887407521628064,0.833594155234277
D,1.8648543003459088,2.622837151068148,5.367521831604279,1.4906254963079064,OR,OR014@6_2,OR,OR,OR,0.06633708529660431,0.8179648937137767
E,3.89852856906687,3.349749049981758,1.8251512120432367,6.320272260348889,IR,IR007_3,IR,IR,IR,0.20660957711767491,0.6685453341887492
F,2.14815103419048,2.578270546672338,5.562789770753538,1.303684379130263,OR,OR014@6_2,OR,OR,OR,0.17544984295540295,0.8077266494930415
G,1.7627809554416196,2.795051961368285,1.9817262457855676,4.388605088945958,N,IR007_3,IR,N,IR,0.06952053993959528,0.8625830114736861
H,2.7809872585574014,2.8952825009862644,5.983116024544022,0.702570306842455,OR,OR014@6_2,OR,OR,OR,0.4371519833780474,0.7039297068844246
I,2.888149981864067,3.2779631644469385,1.2792299891222527,5.67092232349922,IR,IR007_3,IR,IR,IR,0.24372973154418992,0.7922151102386613
J,2.7079747352144343,1.452962262642053,2.9286910712510257,4.613211985827062,B,OR014@6_1,B,B,B,0.24364975012493645,0.8593266819300432
K,3.1612752770753034,3.1270164791228474,6.222371605831509,0.6720776393914791,OR,OR014@6_2,OR,OR,OR,0.5205837420253521,0.6274153747081932
L,2.244556921116487,3.0253660887305753,1.4855270778777052,4.8652005472402085,IR,IR007_3,IR,IR,IR,0.2397567202756941,0.7961035818552471
M,3.0856783636541287,3.283330599569177,6.212088657150167,0.4309080681559145,OR,OR014@6_2,OR,OR,OR,0.5621030326531441,0.6114756055969931
N,1.5574106186515895,1.7021158515925001,4.311078708574269,2.1602487670757946,N,OR014@6_2,OR,N,OR,0.005839105609274031,0.951766008836746
O,1.448863013160767,2.640445623872807,2.4521550999212383,3.915531800575911,N,OR014@6_2,OR,N,N,0.03212142508083038,0.9122421437962515
P,1.6008461951249422,2.503970331757829,5.0883682225373255,1.6271926885923362,N,OR014@6_2,OR,N,OR,0.008135724108816356,0.8388759140537667
