file_id,final_method,final_candidate_label,distance_to_N,distance_to_B,distance_to_IR,distance_to_OR,nearest_source_class,nearest_source_file,probability_margin,normalized_entropy,encoder_agreement,rpm_agreement,subsample_agreement,loto_agreement,review_required
A,class_regularized_ot,N,1.439268984156743,6.843031163829491,9.590306976431764,6.677228893131993,N,N_3,0.2615260683714232,0.8781971550054866,0.6,1.0,1.0,True,True
B,class_regularized_ot,IR,9.796276709857525,9.177832416836363,1.922719815675941,14.077978141630783,IR,IR007_3,0.5600861689693176,0.593102226505289,0.8,1.0,1.0,True,False
C,class_regularized_ot,IR,11.209240439472314,8.423623522259916,6.83731709449736,10.212586679590077,IR,IR007_0,0.16470948308170585,0.9083617450133776,0.8,1.0,0.9,True,False
D,class_regularized_ot,N,3.1365125946779284,7.8022478970437055,12.144969096366372,5.61801645268426,N,N_3,0.0813052356820822,0.8136686661184805,0.6,1.0,1.0,True,True
E,class_regularized_ot,IR,10.466226607093992,5.919385185437595,5.5885877567982325,11.1780452597028,IR,IR007_0,0.10492368526945473,0.795987356130986,1.0,0.6666666666666666,1.0,True,True
F,class_regularized_ot,OR,4.464684743900294,7.104524285317689,12.312186197503433,4.115808683362273,OR,OR021@12_3,0.09153676399607485,0.8241215983282002,0.6,1.0,1.0,True,True
G,class_regularized_ot,IR,7.242974691857697,8.493918508697487,4.3777026941997805,12.90350738250522,IR,IR021_3,0.3028482865034292,0.7712402318222251,0.6,1.0,1.0,True,True
H,class_regularized_ot,OR,8.76617903131241,8.823414653420626,14.550321926218645,1.7409176452479114,OR,OR007@3_3,0.5746603649535561,0.588010218095259,1.0,1.0,1.0,True,False
I,class_regularized_ot,IR,7.891685237072129,5.675201476851525,3.626691978479862,9.904962362177034,IR,IR007_0,0.1719167607616296,0.8902618255875968,0.8,1.0,1.0,True,False
J,class_regularized_ot,B,8.02427100603387,2.6222808666211224,6.949781036682545,8.761193354625872,B,B014_2,0.12051837033603024,0.9062452271700604,0.8,0.6666666666666666,0.8,True,True
K,class_regularized_ot,OR,7.980291663664613,8.504420868714178,13.714948149874369,1.0770572274412162,OR,OR007@6_3,0.520379293864923,0.6211051436536196,1.0,1.0,1.0,True,False
L,class_regularized_ot,IR,7.600287202711275,7.819683041574066,2.9780695761940454,12.44441681008247,IR,IR021_3,0.3845163553350426,0.7538786188212069,0.6,1.0,1.0,True,True
M,class_regularized_ot,OR,6.777201782157915,8.03555858018057,12.855815604658034,1.2185635712773792,OR,OR021@12_1,0.39746591394944614,0.6996302555115061,1.0,1.0,1.0,True,False
N,class_regularized_ot,B,11.046637188770806,5.949181166835893,13.919481669703927,10.464927168817965,B,B007_2,0.4171900894022702,0.782499846739392,1.0,1.0,1.0,True,False
O,class_regularized_ot,IR,6.1240779751573955,8.392153406689497,5.433089756185864,12.179025918758168,IR,N_0,0.1299406087781631,0.832451472067115,0.4,0.6666666666666666,0.75,True,True
P,class_regularized_ot,N,2.759308010177341,7.967201366169503,11.975956997216592,6.049125529122426,N,N_3,0.14727004181175396,0.808312531272338,0.6,1.0,1.0,True,True
