file_id,final_method,final_candidate_label,distance_to_N,distance_to_B,distance_to_IR,distance_to_OR,nearest_source_class,nearest_source_file,probability_margin,normalized_entropy,encoder_agreement,rpm_agreement,subsample_agreement,loto_agreement,review_required
A,coral,N,2.020546813687749,5.761250295146026,8.914121646556277,5.927389481978544,N,N_1_(1772rpm),0.2646485114252689,0.8798416478826514,0.6,1.0,1.0,True,True
B,coral,IR,7.915306867927692,8.387975764275678,2.1109968568631383,12.051828778573551,IR,IR007_3,0.5461583888560658,0.6319927219205652,0.8,1.0,1.0,True,False
C,coral,IR,8.843471681519688,7.152065111878174,5.42643177843304,8.064030896320167,IR,IR007_0,0.23373377428760025,0.8976527784962386,0.8,1.0,0.9,True,False
D,coral,N,3.191419785505731,6.151262640886726,10.918603872609067,4.914017505280331,N,N_2_(1750rpm),0.09757496360705531,0.8331789983825375,0.6,1.0,1.0,True,True
E,coral,IR,8.310733814841228,5.5438006389714465,4.667817035617695,9.457105851176168,IR,IR021_0,0.13571145319465433,0.8021191454265681,1.0,0.6666666666666666,1.0,True,True
F,coral,OR,4.375417310823041,5.706407410082933,11.107805949068261,3.8324504492669877,OR,OR007@12_1,0.08441473598259869,0.8479307410798188,0.6,1.0,1.0,True,True
G,coral,IR,5.771002030272636,7.592119788189196,4.270450189296661,11.097259689453317,IR,IR014_0,0.20404960109620413,0.7993458993539913,0.6,1.0,1.0,True,True
H,coral,OR,7.704498737506311,7.087421551820467,12.926463658275352,1.615925071357857,OR,OR007@3_3,0.5554099105359761,0.6260615461712672,1.0,1.0,1.0,True,False
I,coral,IR,6.557587138324533,5.614636697002354,3.979008855130375,8.612799325592851,IR,IR007_0,0.19163464555827775,0.8989964465224217,0.8,1.0,1.0,True,False
J,coral,B,6.793103747350073,3.2830511673897704,6.372171363493314,7.803753248433894,B,B014_2,0.10842341190913479,0.9058156169099394,0.8,0.6666666666666666,0.8,True,True
K,coral,OR,7.064861646480752,6.9435819899697835,12.323431387477823,1.4353582142386268,OR,OR021@12_2,0.5032777911622965,0.6566975049838474,1.0,1.0,1.0,True,False
L,coral,IR,6.164480823688144,7.243137514155768,3.4518723885649845,10.769907754644345,IR,IR014_0,0.3038172004686024,0.7882462839442278,0.6,1.0,1.0,True,True
M,coral,OR,6.111449637459959,6.570562810459608,11.626641222308287,1.8391889208305026,OR,OR021@12_3,0.3803170299172156,0.7319087742265173,1.0,1.0,1.0,True,False
N,coral,B,8.552089929847845,2.8049263524101917,11.315461924445156,8.337476688615265,B,B021_2,0.47301146240519715,0.7446434505594811,1.0,1.0,1.0,True,False
O,coral,IR,4.775428709354763,7.308918349491389,5.112783193510377,10.432258459104306,N,IR014_0,0.039214277833853395,0.8423125592118169,0.4,0.6666666666666666,0.75,True,True
P,coral,N,2.814654202544019,6.283520126539768,10.764937401043774,5.250518957640096,N,N_2_(1750rpm),0.16370821376484412,0.8245051871272444,0.6,1.0,1.0,True,True
