file_id,final_method,final_candidate_label,distance_to_N,distance_to_B,distance_to_IR,distance_to_OR,nearest_source_class,nearest_source_file,probability_margin,normalized_entropy,encoder_agreement,rpm_agreement,subsample_agreement,loto_agreement,review_required
A,Source-only Transfer-v2 S56,OR,5.064311504364014,8.055598258972168,6.696483135223389,4.838219165802002,OR,OR021@12_3,0.061113983392715454,0.5517798662185669,0.6,1.0,1.0,True,True
B,Source-only Transfer-v2 S56,IR,5.955735206604004,8.099332809448242,3.247819662094116,7.2380290031433105,IR,IR014_0,0.9374315738677979,0.1096355989575386,0.8,1.0,1.0,True,False
C,Source-only Transfer-v2 S56,IR,6.968656539916992,7.765295505523682,4.507973670959473,4.854360103607178,IR,IR014_0,0.08679595589637756,0.5423436164855957,0.8,1.0,0.9,True,False
D,Source-only Transfer-v2 S56,OR,5.322162628173828,8.134876251220703,7.575805187225342,4.3519439697265625,OR,OR021@12_3,0.4698259234428406,0.4269159436225891,0.6,1.0,1.0,True,True
E,Source-only Transfer-v2 S56,IR,6.4449591636657715,7.071290969848633,4.016114234924316,5.83269739151001,IR,IR014_0,0.5977448225021362,0.6023722290992737,1.0,0.6666666666666666,1.0,True,True
F,Source-only Transfer-v2 S56,OR,5.771838188171387,7.9719367027282715,7.645155429840088,3.9257569313049316,OR,OR021@12_3,0.8038492202758789,0.23898150026798248,0.6,1.0,1.0,True,True
G,Source-only Transfer-v2 S56,IR,5.154178619384766,8.047652244567871,4.174764633178711,6.909841537475586,IR,IR014_0,0.4157661199569702,0.47452065348625183,0.6,1.0,1.0,True,True
H,Source-only Transfer-v2 S56,OR,6.903108596801758,8.240517616271973,8.452653884887695,2.7458505630493164,OR,OR021@12_3,0.9874208569526672,0.028337204828858376,1.0,1.0,1.0,True,False
I,Source-only Transfer-v2 S56,IR,5.995724201202393,7.5125837326049805,4.313416004180908,5.624640464782715,IR,IR014_0,0.4201078414916992,0.6919259428977966,0.8,1.0,1.0,True,False
J,Source-only Transfer-v2 S56,IR,6.093735218048096,6.761014461517334,4.905579566955566,5.139420509338379,IR,IR014_0,0.09531095623970032,0.7747674584388733,0.8,0.6666666666666666,0.8,True,True
K,Source-only Transfer-v2 S56,OR,6.6781697273254395,8.32041072845459,8.286355018615723,2.9118812084198,OR,OR021@12_3,0.9780808687210083,0.044608719646930695,1.0,1.0,1.0,True,False
L,Source-only Transfer-v2 S56,IR,5.4358110427856445,7.94293737411499,3.9952683448791504,6.766077041625977,IR,IR014_0,0.6964053511619568,0.34639230370521545,0.6,1.0,1.0,True,True
M,Source-only Transfer-v2 S56,OR,6.3440375328063965,8.274431228637695,7.9795660972595215,3.231193780899048,OR,OR021@12_3,0.9545831084251404,0.08018792420625687,1.0,1.0,1.0,True,False
N,Source-only Transfer-v2 S56,OR,6.325075149536133,5.712214946746826,6.397171497344971,4.581026077270508,OR,OR014@6_1,0.4115455746650696,0.7542551755905151,1.0,1.0,1.0,True,False
O,Source-only Transfer-v2 S56,IR,4.895558834075928,8.064225196838379,4.607738018035889,6.602070331573486,IR,IR014_0,0.06765732169151306,0.5721437335014343,0.4,0.6666666666666666,0.75,True,True
P,Source-only Transfer-v2 S56,OR,5.182353973388672,8.183160781860352,7.510138988494873,4.504186153411865,OR,OR021@12_3,0.3297273814678192,0.4716065227985382,0.6,1.0,1.0,True,True
