file_id,old_transfer20_coral,candidate_label,encoder_agreement,rpm_agreement,review_required,changed
A,IR,N,1.0,0.6666666666666666,True,True
B,OR,IR,1.0,1.0,False,True
C,B,IR,0.6,1.0,True,True
D,OR,OR,0.6,0.6666666666666666,True,False
E,B,IR,0.6,0.6666666666666666,True,True
F,OR,OR,0.6,1.0,True,False
G,OR,IR,1.0,1.0,True,True
H,IR,OR,1.0,1.0,False,True
I,OR,IR,0.6,1.0,True,True
J,B,B,1.0,1.0,True,False
K,IR,OR,1.0,1.0,False,True
L,OR,IR,1.0,1.0,False,True
M,IR,OR,1.0,1.0,False,True
N,B,OR,1.0,0.6666666666666666,True,True
O,OR,IR,1.0,0.6666666666666666,True,True
P,OR,OR,0.6,0.6666666666666666,True,False
